time,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17
46.5,7,0.0072717,-0.00939633,-0.0318252,-0.11909,0.193331,-0.2385,0.0746341,-0.3512,-0.0526118,-0.0787144,-0.265376,-0.210739,0.0901203,-0.247184,0.337372,-0.019617
48,66,0.0364373,0.0383324,-0.0200924,-0.0901929,0.166643,-0.262953,0.0676034,-0.355424,-0.0301996,-0.0898995,-0.264852,-0.194436,0.101287,-0.265038,0.295134,-0.0126946
49.5,-2,0.037486,0.0104028,-0.0376984,-0.0745511,0.170777,-0.278433,0.0474284,-0.356956,-0.0415241,-0.0801237,-0.251274,-0.176185,0.101879,-0.170546,0.305292,-0.031268
51,-2,0.0215718,0.0224635,-0.0955406,-0.085236,0.149387,-0.253723,0.0266744,-0.333366,-0.0280166,-0.0778087,-0.234011,-0.135511,0.118386,-0.168105,0.33427,-0.0365362
52.5,46,0.0011661,0.000799626,-0.0940338,-0.0617397,0.160573,-0.251588,0.0257379,-0.298012,-0.0143006,-0.0552933,-0.21545,-0.11878,0.163301,-0.15193,0.407105,-0.0168557
54,11,-0.00729268,-0.00793632,-0.0536987,-0.0771609,0.15669,-0.253061,0.0538881,-0.284857,-0.0583988,-0.0851268,-0.204996,-0.135125,0.175979,-0.162153,0.4174,-0.0296706
55.5,20,0.00577605,0.032862,-0.085799,-0.0608067,0.155732,-0.239243,0.0307573,-0.294202,-0.0575483,-0.0854548,-0.204058,-0.143475,0.213873,-0.0887516,0.391246,-0.0320459
57,-1,0.0220566,0.041741,-0.104882,-0.0512708,0.176682,-0.229157,0.00647768,-0.316736,-0.0595894,-0.0688545,-0.237697,-0.1017,0.198792,-0.0906783,0.354955,-0.0624214
58.5,1,0.0120301,0.0480944,-0.0898668,-0.00583278,0.198073,-0.20363,-0.0292214,-0.290359,-0.050824,-0.0755247,-0.222599,-0.114187,0.178913,-0.137526,0.448391,-0.0279414
60,19,0.0501048,0.0180189,-0.0471822,-0.0446967,0.208702,-0.244625,-0.0449067,-0.266115,-0.0603979,-0.0719015,-0.199532,-0.113899,0.195704,-0.144106,0.434722,-0.0583458
61.5,29,0.0264983,0.0190243,-0.0718868,-0.0278458,0.225116,-0.268204,0.0634396,-0.297259,-0.0303467,-0.0660865,-0.234028,-0.142259,0.177395,-0.1513,0.350162,-0.045261
63,-45,0.0212415,0.0807551,-0.0679673,-0.034851,0.245214,-0.23564,0.0579611,-0.288971,-0.0491406,-0.0716584,-0.219902,-0.143138,0.20674,-0.139347,0.26414,-0.0178393
64.5,55,0.0288499,0.0710419,-0.0820432,-0.0866495,0.244027,-0.224608,0.0603869,-0.303201,-0.0517106,-0.0921934,-0.220901,-0.16619,0.170722,-0.117152,0.358156,-0.024832
66,39,0.0713255,0.0679148,-0.0353629,-0.0468875,0.242452,-0.223558,0.0495882,-0.334924,-0.0496579,-0.073151,-0.249226,-0.144801,0.201154,-0.0927284,0.333675,-0.0330334
67.5,-9,0.0534176,0.0910684,-0.0574773,-0.0257865,0.267918,-0.223134,0.0770843,-0.342541,-0.0515526,-0.101002,-0.251528,-0.101303,0.183771,-0.125392,0.280472,-0.0339276
69,36,0.0341722,0.0655853,-0.0645549,-0.0139939,0.252287,-0.211525,0.0546629,-0.297694,-0.0426553,-0.0971887,-0.21246,-0.0879927,0.206803,-0.142082,0.279345,0.0026637
70.5,-64,0.0278005,0.079614,-0.023647,0.000650553,0.308981,-0.185412,0.0639095,-0.324671,-0.0218624,-0.101026,-0.244856,-0.0660758,0.169097,-0.150113,0.310917,0.0283456
72,-14,0.0222397,0.082882,-0.0298325,0.011527,0.333629,-0.172876,0.0622786,-0.307337,-0.0190524,-0.0785461,-0.227429,-0.0244879,0.147563,-0.131289,0.310996,0.0739732
73.5,52,-0.00570595,0.052369,-0.0308729,-0.0270573,0.332478,-0.207808,0.0707636,-0.269289,0.0190259,-0.0830684,-0.185326,-0.0454918,0.129023,-0.174076,0.275646,0.0875635
75,83,-0.011392,0.0761413,-0.0184809,-0.0329896,0.317238,-0.232458,0.0784002,-0.280948,-0.00252241,-0.0765297,-0.1918,-0.0234524,0.112127,-0.156668,0.341592,0.0326345
76.5,11,-0.0283275,0.109702,-0.0530971,-0.0170215,0.293123,-0.238977,0.0571455,-0.281857,-0.00975427,-0.0832183,-0.199844,-0.0497275,0.107851,-0.173407,0.378275,0.0373845
78,-35,0.0266438,0.125167,-0.0762043,-0.0475681,0.284101,-0.214296,0.0921077,-0.281666,0.0199102,-0.0884522,-0.193371,-0.0531023,0.130067,-0.220242,0.385786,0.054252
79.5,26,0.0575219,0.100251,-0.0859358,-0.0137298,0.312505,-0.215582,0.0690495,-0.309742,0.0568989,-0.0819645,-0.224449,-0.0318919,0.112436,-0.301789,0.384045,0.0717223
81,38,0.0409944,0.095607,-0.0202569,-0.0186914,0.337561,-0.218567,0.0868103,-0.319373,0.0387355,-0.0556937,-0.254033,-0.0485779,0.116327,-0.319901,0.375394,0.116828
82.5,-14,0.0655712,0.107803,-0.0491629,-0.013367,0.336016,-0.236136,0.0707728,-0.327284,0.0507656,-0.071342,-0.262711,-0.0965881,0.108057,-0.307608,0.391694,0.105527
84,1,0.0371159,0.0841559,-0.0560661,0.00294231,0.319155,-0.209128,0.0459535,-0.33844,0.0843569,-0.0618503,-0.282217,-0.129462,0.0749703,-0.239359,0.370943,0.0507096
85.5,19,0.0274952,0.0916486,-0.0595126,-0.00541412,0.334922,-0.215108,-0.0161952,-0.342175,0.0712437,-0.0582193,-0.2788,-0.118504,0.0664223,-0.223048,0.417442,0.0738764
87,11,0.0459487,0.0888003,-0.0817269,-0.025892,0.322989,-0.242161,0.00879186,-0.330403,0.0868834,-0.0622203,-0.247088,-0.104268,0.0475885,-0.215993,0.425287,0.038251
88.5,-404,0.0500436,0.0836634,-0.0660098,-0.0256063,0.324423,-0.254237,-0.00982933,-0.345787,0.0778832,-0.0508903,-0.258477,-0.0962263,0.0817165,-0.270006,0.450766,0.0477816
90,894,0.0363495,0.0778705,-0.0888317,-0.0233336,0.308974,-0.248396,-0.0131737,-0.333655,0.0457716,-0.0709482,-0.242914,-0.105684,0.0905709,-0.269057,0.435443,0.0651358
91.5,392,0.0386236,0.0464549,-0.122448,0.00261048,0.337173,-0.247316,0.00675113,-0.342408,0.0221724,-0.0939117,-0.263996,-0.039465,0.099591,-0.309505,0.452823,0.0414506
93,-103,0.0380633,0.0347911,-0.122526,0.0248084,0.351393,-0.237989,0.0229526,-0.312707,0.0377298,-0.0737152,-0.225497,-0.0251834,0.0847973,-0.31922,0.542139,0.0273841
94.5,-772,0.0787486,0.065234,-0.135672,0.0485297,0.294948,-0.243694,0.0223882,-0.298586,0.0380107,-0.0692906,-0.207989,-0.0548628,0.0933437,-0.294287,0.439753,0.0387646
96,197,0.0634005,0.0591785,-0.143481,0.0387818,0.311615,-0.254573,0.0132257,-0.280833,0.0504252,-0.074935,-0.176098,-0.0620967,0.0781237,-0.223557,0.449617,0.0761001
97.5,286,0.0758303,0.0857791,-0.130893,0.033176,0.334984,-0.288123,0.0144995,-0.264604,0.0241778,-0.0699955,-0.174017,-0.0431669,0.104153,-0.22217,0.478331,0.0642926
99,165,0.0776323,0.106444,-0.133144,0.00711152,0.310363,-0.27576,0.0320898,-0.258068,0.000243193,-0.0565127,-0.173151,-0.0825756,0.0933176,-0.196141,0.494255,-0.000520283
100.5,34,0.0848154,0.0957999,-0.146235,-0.0246967,0.334365,-0.274294,0.0249862,-0.279171,0.0335855,-0.0593092,-0.19758,-0.0751131,0.0720045,-0.189235,0.508587,0.0350198
102,-36,0.0789408,0.0883255,-0.171848,-0.0210753,0.328828,-0.276891,0.0579716,-0.294634,0.0327216,-0.0854013,-0.21029,-0.0437515,0.0637531,-0.19128,0.491732,0.0265571
103.5,-54,0.0635735,0.0710709,-0.159692,-0.0120573,0.297467,-0.295154,0.0166904,-0.298714,0.0306968,-0.0697886,-0.210637,-0.0346063,0.0731427,-0.187401,0.485064,-0.00738913
105,-47,0.0487002,0.0656014,-0.173649,-0.0255363,0.307541,-0.314986,0.0305997,-0.33946,0.00704586,-0.0545584,-0.229502,-0.0518159,0.0689814,-0.127995,0.510233,0.0196796
106.5,10,0.0460895,0.0658257,-0.12158,-0.0270137,0.34679,-0.344584,0.0543691,-0.325943,-0.0504131,-0.0447804,-0.221878,-0.0613419,0.0788992,-0.0974044,0.491797,0.0436599
108,48,0.0206251,0.0868487,-0.109925,-0.0251762,0.343054,-0.343024,0.0472013,-0.325379,-0.0500494,-0.0381413,-0.22389,-0.0583878,0.085513,-0.146757,0.503541,0.0431099
109.5,-22,0.0230813,0.0751225,-0.0861072,-0.0592264,0.32701,-0.339009,0.0680123,-0.333446,-0.0494102,-0.0455254,-0.249093,-0.0294938,0.0988224,-0.130175,0.518361,0.060168
111,13,0.020947,0.0711195,-0.0621564,-0.117513,0.302425,-0.325735,0.033949,-0.347769,-0.0488349,-0.0537428,-0.268348,-0.0237619,0.0826342,-0.124782,0.492028,0.0560592
112.5,41,0.0306703,0.0810855,-0.0546833,-0.130812,0.302365,-0.337548,0.0833474,-0.34477,-0.0127676,-0.0524941,-0.260267,-0.0170131,0.0871929,-0.163772,0.488164,0.0863229
114,35,0.0404642,0.0675962,-0.0557534,-0.0676304,0.325138,-0.336952,0.0897255,-0.326939,0.0103377,-0.0600146,-0.247954,-0.0642048,0.0816266,-0.196321,0.463434,0.0830329
115.5,28,0.0477144,0.0542861,-0.0547047,-0.0873574,0.320017,-0.301951,0.0971968,-0.346704,-0.0228153,-0.0467441,-0.259659,-0.0514242,0.0707313,-0.168428,0.360417,0.0442023
117,35,0.0566728,0.0366923,-0.0220746,-0.100217,0.334684,-0.286378,0.109546,-0.349865,0.00503691,-0.0951139,-0.275034,-0.0431018,0.0684928,-0.192887,0.386716,0.0199392
118.5,-25,0.061607,0.0302158,-0.033447,-0.110351,0.317701,-0.296121,0.102919,-0.351196,-0.00419823,-0.0873706,-0.283628,-0.079337,0.0502927,-0.225066,0.304122,0.0644996
120,55,0.0439758,0.0300015,-0.0502205,-0.119471,0.334882,-0.293663,0.106907,-0.354159,0.0105661,-0.076276,-0.278859,-0.0976385,0.0860421,-0.219715,0.347385,0.0672078
121.5,11,0.0352334,0.0220885,-0.083423,-0.138045,0.268168,-0.282312,0.184927,-0.367672,-0.04132,-0.0629511,-0.299776,-0.066807,0.0755461,-0.237774,0.339567,0.0593422
