time,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,26,0.0395689,-0.00625798,0.0249143,0.0576959,0.00810936,0.0416667,-0.00815613,0.0368519,-0.0363293,-0.0255291,0.0471545,-0.0184115,0.00704408,-0.0375801,0.0222243,0.00157598
3,20,0.0741397,-0.026659,0.0495035,0.083566,0.032785,0.0303862,-0.00675794,0.115263,0.00712614,-0.0328584,0.0771274,-0.100057,-0.0222074,-0.0679858,0.0408371,0.03609
4.5,10,0.0839069,-0.0505269,0.0792165,0.190601,0.0352989,0.0624085,0.00556947,0.166494,-0.0501764,-0.0493371,0.166434,-0.103384,0.0523079,-0.0412584,0.081202,0.035239
6,-2,0.0692685,-0.0332086,0.0886265,0.244126,0.0966439,0.0856392,-0.0648972,0.2334,-0.0940637,-0.0345211,0.142202,-0.12479,0.0808145,-0.0546414,0.116604,0.0151673
7.5,-4,0.132629,-0.0201253,0.0938458,0.318355,0.128685,0.110612,-0.0706417,0.219182,-0.0738284,-0.0471277,0.15725,-0.176434,0.126491,-0.0389282,0.149855,0.0164085
9,11,0.13134,-0.0754359,0.0707403,0.323743,0.0289303,0.108697,-0.0478478,0.227183,-0.0818156,-0.0510618,0.186512,-0.212755,0.0890018,-0.0485585,0.175151,0.0096457
10.5,17,0.187973,-0.1132,0.101218,0.410482,0.0758519,0.144067,-0.0418979,0.221249,-0.10158,-0.113896,0.201465,-0.280045,0.0519253,-0.0451261,0.211808,-0.0133826
12,15,0.215513,-0.112644,0.153201,0.391768,0.052048,0.193177,-0.0446991,0.157529,-0.0823394,-0.0979771,0.219259,-0.326639,0.0689773,-0.0562719,0.236002,-0.040018
13.5,9,0.216349,-0.0928685,0.0956354,0.324674,0.0190397,0.221115,-0.0705234,0.212561,-0.0709616,-0.142943,0.241777,-0.307943,0.074314,-0.0418191,0.294354,-0.0301063
15,7,0.198359,-0.112869,0.0835443,0.355486,0.0240866,0.219837,-0.0459936,0.179993,-0.105435,-0.178472,0.246868,-0.359683,0.112113,-0.0773525,0.353815,-0.0105479
16.5,6,0.225381,-0.0700419,0.130435,0.35716,0.0425306,0.222244,-0.0559588,0.150318,-0.128775,-0.165154,0.247655,-0.395456,0.106463,-0.103639,0.367049,-0.0481046
18,9,0.220545,-0.0765549,0.122807,0.39403,-0.0231219,0.238637,-0.0258945,0.14003,-0.164104,-0.154815,0.292267,-0.426382,0.0998947,-0.0996804,0.334049,-0.0669339
19.5,10,0.224522,-0.0285981,0.119553,0.362071,0.0718687,0.218838,0.00757176,0.15996,-0.148742,-0.201509,0.343257,-0.458025,0.0858271,-0.113627,0.366391,-0.0385708
21,7,0.216648,-0.01923,0.0992933,0.359365,0.0600479,0.267585,-0.0240622,0.170599,-0.160416,-0.197829,0.38427,-0.428729,0.102084,-0.112086,0.416797,-0.0295917
22.5,8,0.204875,-0.0270694,0.121139,0.5021,0.0621525,0.224058,0.0290286,0.188567,-0.119922,-0.203163,0.378905,-0.407125,0.0866852,-0.133476,0.387155,-0.0613042
24,8,0.172934,-0.0125975,0.172574,0.584032,0.102276,0.220961,0.0342818,0.203643,-0.0915115,-0.260258,0.363237,-0.395617,0.077646,-0.111872,0.36696,-0.0622657
25.5,9,0.194168,0.0217044,0.113793,0.678244,0.159241,0.259841,0.100181,0.220131,-0.0914426,-0.23382,0.372984,-0.366213,0.133649,-0.0974106,0.393233,-0.066677
27,9,0.271591,0.0102722,0.142854,0.785368,0.179229,0.280604,0.0965711,0.299917,-0.11758,-0.226085,0.389886,-0.399746,0.132518,-0.0824026,0.342797,-0.0284896
28.5,8,0.294414,0.0307724,0.145178,0.758944,0.193744,0.256609,0.138764,0.247303,-0.12748,-0.240123,0.396426,-0.422942,0.167834,-0.0755858,0.335372,-0.0272167
30,10,0.329532,0.0594857,0.173629,0.830081,0.235769,0.20859,0.0730376,0.293722,-0.135691,-0.27211,0.421824,-0.456199,0.164768,-0.0942194,0.368044,-0.00282524
31.5,9,0.315322,0.0875805,0.175042,0.789879,0.157744,0.227874,0.176424,0.336594,-0.133999,-0.28484,0.429506,-0.433117,0.111958,-0.0930537,0.398376,0.0147931
33,10,0.305657,0.0713129,0.193284,0.803949,0.0713019,0.240147,0.192572,0.35876,-0.148894,-0.289297,0.480322,-0.44631,0.166384,-0.0823249,0.386782,0.0156778
34.5,10,0.264158,0.075446,0.20573,0.820335,0.10356,0.249161,0.211765,0.338938,-0.150772,-0.273543,0.466436,-0.481674,0.14233,-0.0871885,0.371254,0.0219899
36,9,0.275749,0.0638963,0.219098,0.835081,0.124483,0.278107,0.191753,0.342991,-0.168181,-0.290247,0.460985,-0.471917,0.173328,-0.0972596,0.360057,0.00875903
37.5,8,0.251298,0.0727761,0.267959,0.801824,0.149106,0.308223,0.152188,0.327665,-0.160446,-0.313104,0.422475,-0.455517,0.173791,-0.0930853,0.36387,0.0366448
39,10,0.245952,0.0582392,0.304352,0.740254,0.20718,0.326181,0.135221,0.369697,-0.166059,-0.27397,0.397571,-0.502658,0.21573,-0.0753782,0.361745,0.0436182
40.5,8,0.27186,0.041151,0.342521,0.675534,0.176035,0.322526,0.120534,0.328349,-0.153645,-0.254397,0.448871,-0.526355,0.224558,-0.0977336,0.44873,0.0447723
42,7,0.29049,0.0262721,0.302492,0.665676,0.166541,0.324827,0.0997418,0.338934,-0.147363,-0.291545,0.453307,-0.496575,0.25623,-0.0750065,0.465437,0.0371431
43.5,9,0.278623,-0.0219132,0.302934,0.748001,0.176532,0.319275,0.12414,0.34846,-0.131229,-0.274331,0.475185,-0.530405,0.268052,-0.0827372,0.479084,0.0472187
45,11,0.292412,-0.0332391,0.276251,0.812788,0.215644,0.313262,0.129786,0.334047,-0.130682,-0.271604,0.466148,-0.530694,0.229012,-0.0915453,0.480254,0.0137351
46.5,8,0.299616,-0.039177,0.323008,0.751982,0.256638,0.378989,0.136615,0.34771,-0.126696,-0.253502,0.445008,-0.53032,0.144197,-0.0805402,0.450749,0.0395473
48,9,0.288918,-0.0147331,0.27482,0.747508,0.270362,0.386313,0.127614,0.335926,-0.11193,-0.238446,0.423813,-0.485541,0.181681,-0.0844435,0.435306,-0.00774695
49.5,6,0.318338,-0.0202687,0.289945,0.74162,0.330212,0.37258,0.0694115,0.352321,-0.117505,-0.269777,0.448099,-0.509681,0.223944,-0.0946468,0.441317,0.0308513
51,11,0.376576,-0.0740631,0.332082,0.663736,0.29024,0.392233,0.0741219,0.310886,-0.138241,-0.267093,0.462367,-0.521883,0.214155,-0.0947195,0.396723,0.0297362
52.5,10,0.361826,-0.0398726,0.297791,0.668086,0.356212,0.392644,0.0311723,0.350582,-0.115335,-0.265089,0.531036,-0.524612,0.230555,-0.0997672,0.376034,0.0484323
54,8,0.385518,0.00792053,0.31098,0.740864,0.370405,0.349822,0.0496106,0.332308,-0.124062,-0.254227,0.582539,-0.535957,0.218992,-0.128509,0.408344,0.0057655
55.5,9,0.354255,0.0228986,0.331516,0.776586,0.319463,0.373783,0.0813521,0.338848,-0.10956,-0.265863,0.636481,-0.521723,0.200059,-0.158505,0.424922,6.70E-05
57,9,0.344341,0.0401336,0.324001,0.931572,0.31532,0.424312,0.0528266,0.363707,-0.101049,-0.263982,0.666599,-0.549546,0.211566,-0.145359,0.493552,-0.0109716
58.5,9,0.332295,0.0130909,0.28149,0.946362,0.349821,0.362063,0.0388052,0.326607,-0.100376,-0.287819,0.622704,-0.550778,0.194859,-0.134525,0.471051,0.00430943
60,8,0.292297,-0.00849405,0.297031,1.01923,0.380873,0.319759,0.0861918,0.342839,-0.1099,-0.23639,0.628184,-0.548396,0.202808,-0.101428,0.461912,0.00387848
61.5,9,0.306801,-0.0186587,0.301269,1.0327,0.386808,0.389409,0.0775726,0.368029,-0.0884305,-0.189281,0.632574,-0.526252,0.20403,-0.0700752,0.418962,-0.025665
