time,value3,value1,value2
0,22,-0.0391045,0.381677
1.5,-104,-0.120557,0.596035
3,-44,-0.0475741,0.4827
4.5,-16,-0.0699195,0.508587
6,-49,-0.165248,0.23109
7.5,-47,-0.19354,0.27876
9,26,0.0037843,0.449236
10.5,-99,-0.146146,0.33306
12,-4,-0.11443,0.157217
13.5,-98,-0.195702,0.376626
15,-30,-0.115872,0.165425
16.5,-53,-0.0868587,0.28539
18,-33,-0.0643331,0.247506
19.5,-47,-0.138938,0.347897
21,-38,-0.133712,0.399987
22.5,-28,-0.023787,0.380414
24,-110,-0.1056,0.41009
25.5,24,-0.103618,0.295492
27,-54,-0.0596478,0.226354
28.5,-10,-0.144705,0.27655
30,-71,-0.182367,0.321063
31.5,-25,-0.18471,0.399987
33,-15,-0.0872192,0.208675
34.5,9,-0.138578,0.266448
36,-32,-0.0910035,0.229827
37.5,-5,-0.0661352,0.421455
39,-85,-0.13155,0.287915
40.5,82,-0.067757,0.319169
42,-54,-0.182187,0.208044
43.5,-23,-0.0940669,0.279076
45,-16,-0.0991127,0.285705
46.5,49,-0.127585,0.174896
48,-33,-0.0787495,0.205834
49.5,-37,-0.134433,0.3198
51,-24,-0.151372,0.21057
52.5,-208,-0.14092,0.288862
54,-78,-0.0373024,0.258555
55.5,-63,-0.0740642,0.319169
57,217,-0.0769475,0.417982
58.5,-29,-0.17552,0.248769
60,40,-0.175339,0.273393
61.5,-191,-0.111727,0.216883
63,-69,-0.0846963,0.294229
64.5,-33,-0.0767673,0.223513
66,-49,-0.164347,0.346003
67.5,-26,-0.0488355,0.321063
69,88,-0.177502,0.282548
70.5,-80,-0.107402,0.217515
72,-1,-0.0884806,0.228564
73.5,-93,-0.0938867,0.394621
75,-51,-0.216246,0.358947
76.5,-56,-0.125062,0.32201
78,-36,-0.211561,0.162899
79.5,-28,-0.130108,0.277813
81,-99,-0.14092,0.250032
82.5,-46,-0.206154,0.200152
84,-52,-0.223814,0.556257
85.5,17,-0.163806,0.328009
87,-70,-0.117854,0.255714
88.5,17,-0.215705,0.343162
90,-68,-0.080011,0.306226
91.5,15,-0.163085,0.316959
93,-34,-0.09677,0.322326
94.5,8,-0.150291,0.462495
96,-38,-0.00630717,0.353896
97.5,0,-0.0875796,0.196995
99,-99,-0.18453,0.246559
100.5,31,-0.140019,0.447342
102,-29,-0.0682976,0.177106
103.5,17,-0.0482949,0.39904
105,-28,-0.0915441,0.389254
106.5,-36,-0.109745,0.370628
108,-48,-0.101636,0.312224
109.5,8,-0.0221652,0.373785
111,10,-0.0955086,0.322642
112.5,-77,-0.137316,0.243086
114,102,-0.0987523,0.212464
115.5,-211,-0.183989,0.267395
117,-12,-0.148669,0.381361
118.5,-74,-0.0529802,0.409143
120,126,-0.131009,0.250979
121.5,-8,-0.0547823,0.391148
123,-18,-0.11425,0.234247
124.5,-92,-0.159842,0.265816
126,-53,-0.115692,0.336848
127.5,-54,-0.0951482,0.282548
129,55,-0.130288,0.235825
130.5,-114,-0.208677,0.319485
132,54,-0.0733434,0.385781
133.5,-178,-0.139118,0.443869
135,-9,-0.117494,0.276866
136.5,-92,-0.0955086,0.343478
138,99,-0.0318963,0.346003
139.5,-38,-0.0309952,0.344109
141,-78,-0.0102717,0.419876
142.5,-89,-0.0621707,0.377889
144,-75,-0.106501,0.265185
145.5,-18,-0.0776683,0.290756
147,42,-0.0767673,0.373785
148.5,19,-0.0551427,0.217199
150,-106,-0.106501,0.396515
151.5,-2,-0.164167,0.297702
153,-29,0.022886,0.405354
154.5,-7,-0.0942471,0.379467
156,-28,-0.153354,0.416719
157.5,-3,-0.0946075,0.469441
159,-83,-0.0109925,0.399356
160.5,55,-0.0374826,0.360525
162,-18,-0.0920847,0.495012
163.5,-42,-0.119296,0.347266
165,-13,-0.212642,0.357053
166.5,-18,-0.0282922,0.344109
168,10,-0.0735236,0.484594
169.5,-30,-0.0331577,0.358
171,-64,-0.090643,0.455234
172.5,-18,-0.0194621,0.285074
174,5,-0.0679372,0.472598
175.5,-34,-0.0901024,0.420508
177,-32,-0.100014,0.508271
178.5,22,0.0421679,0.407564
180,31,0.0385638,0.439134
181.5,-27,-0.0529802,0.320432
183,-109,-0.110826,0.457128
184.5,-48,-0.0295536,0.372206
186,14,-0.029013,0.349792
187.5,-77,-0.0246881,0.518374
189,1,-0.0209038,0.486488
190.5,-68,-0.0187413,0.479859
192,41,-0.0639727,0.55531
193.5,-113,-0.162365,0.464705
195,-99,-0.0843359,0.310014
196.5,-51,-0.0546021,0.536368
198,-8,-0.0926253,0.359263
199.5,60,-0.0324369,0.50322
201,2,-0.0928055,0.358
202.5,-59,-0.106681,0.456497
204,-99,-0.0704601,0.257608
205.5,-49,-0.0470335,0.301174
207,-10,-0.0171195,0.372522
208.5,24,-0.0591072,0.320116
210,-57,-0.100194,0.365892
211.5,21,-0.0737038,0.417035
213,-24,-0.170834,0.311908
214.5,7,-0.11443,0.227301
216,-24,-0.208137,0.34474
217.5,31,-0.121999,0.200467
219,-117,-0.134072,0.253189
220.5,58,-0.16687,0.369681
222,-48,-0.0938867,0.39683
223.5,16,-0.0843359,0.215936
225,-135,-0.119656,0.236141
226.5,27,0.00648737,0.365892
228,-35,-0.147948,0.32643
229.5,51,-0.146326,0.383255
231,-1,-0.160923,0.178368
232.5,-22,-0.0268505,0.462811
234,-15,-0.118575,0.381361
235.5,-104,-0.0890212,0.365892
237,-15,-0.14056,0.579303
238.5,-54,-0.0585666,0.332428
240,32,-0.0571249,0.487435
241.5,-59,-0.0780287,0.30812
243,18,-0.0547823,0.431557
244.5,-73,-0.0863181,0.270552
246,-20,-0.0495563,0.244033
247.5,-81,0.0127945,0.511113
249,32,-0.0895618,0.264869
250.5,-114,-0.165969,0.434398
252,-44,-0.0189215,0.314434
253.5,-54,-0.0463126,0.266763
255,-20,-0.160743,0.364314
256.5,-68,-0.102356,0.521846
258,9,-0.0336983,0.404407
259.5,-10,-0.0713611,0.491539
261,-21,-0.0522594,0.372837
262.5,-76,0.0122539,0.427769
264,13,-0.0636123,0.583407
265.5,-137,-0.103438,0.34916
267,-66,-0.138758,0.429663
268.5,43,-0.107402,0.441344
270,9,-0.0731632,0.378204
271.5,53,-0.013155,0.524687
273,-49,-0.0396451,0.478596
274.5,-38,-0.221111,0.40125
276,-46,-0.0230662,0.398725
277.5,25,-0.0272109,0.377889
279,-82,-0.106501,0.358
280.5,78,-0.0252287,0.498485
282,-30,0.0311754,0.416404
283.5,-13,-0.0836151,0.506377
285,-13,-0.0758662,0.438502
286.5,15,-0.0535208,0.492486
288,306,-0.0364014,0.406617
289.5,-461,-0.0769475,0.362735
291,-128,-0.0670362,0.380098
292.5,316,-0.0573051,0.57804
294,19,0.021985,0.464389
295.5,-148,-0.0189215,0.404723
297,-118,-0.1411,0.508903
298.5,-83,-0.00883004,0.426822
300,43,-0.022886,0.44671
301.5,-17,-0.0848765,0.465337
303,-40,-0.0834348,0.352633
304.5,-46,-0.125062,0.287915
306,-134,-0.0198225,0.421139
307.5,9,-0.0454116,0.369996
309,-13,-0.0309952,0.39904
310.5,-35,-0.075686,0.21057
312,-42,-0.0964096,0.528476
313.5,-95,-0.17606,0.309382
315,-58,-0.102176,0.465337
316.5,-58,-0.0951482,0.458076
318,-10,-0.0992929,0.464074
319.5,-11,-0.0875796,0.317906
321,-7,-0.0702799,0.469441
322.5,-32,-0.107222,0.369681
324,-45,-0.0913639,0.388622
325.5,5,-0.0670362,0.41009
327,-21,-0.0517188,0.535421
328.5,29,-0.0908232,0.550575
330,-79,-0.0854171,0.317906
331.5,-27,-0.119656,0.422718
333,-56,-0.119656,0.259502
334.5,49,-0.0719017,0.364945
336,-32,-0.0960492,0.343793
337.5,-3,-0.0569447,0.445132
339,-52,-0.0904628,0.229511
340.5,30,-0.0704601,0.398093
342,-3,0.0169393,0.408195
343.5,-46,-0.000540615,0.459338
345,-115,-0.0751454,0.561308
346.5,-23,-0.0884806,0.524687
348,49,-0.0490157,0.539841
349.5,-11,-0.0708205,0.513638
351,-24,-0.0153174,0.455866
352.5,-56,-0.0673966,0.422718
354,-18,-0.0335181,0.504483
355.5,-82,-0.0928055,0.37189
357,-35,-0.112808,0.377573
358.5,-34,-0.0477543,0.450814
360,28,-0.0414471,0.452709
361.5,-40,-0.0331577,0.352317
363,-29,0.0129747,0.421455
364.5,-61,-0.120377,0.298649
366,-13,-0.0645133,0.379467
367.5,-61,-0.0165788,0.521215
369,23,-0.0221652,0.370943
370.5,-85,-0.021084,0.497222
372,-26,-0.0600082,0.468493
373.5,-73,0.0686581,0.354527
375,-24,-0.0814526,0.456497
376.5,-28,0.0225256,0.464389
378,-21,0.0037843,0.404407
379.5,-28,-0.108844,0.481437
381,-25,-0.0794703,0.45997
382.5,-30,-0.0329775,0.413247
384,0,0.00450512,0.553416
385.5,-41,-0.0138758,0.419561
387,-245,-0.000901024,0.454287
388.5,-160,-0.120197,0.369365
390,330,-0.0556833,0.323905
391.5,201,-0.0333379,0.497538
393,28,-0.0594676,0.48049
394.5,-179,-0.0342389,0.440081
396,-106,-0.127945,0.486488
397.5,-63,-0.0133352,0.367786
399,52,-0.0479345,0.573305
400.5,92,-0.0277515,0.510165
402,-21,0.0356806,0.495328
403.5,-43,-0.028112,0.560361
405,-28,0.0558635,0.395883
406.5,-28,-0.0109925,0.453971
408,-41,0.00036041,0.544261
409.5,-10,-0.143623,0.548049
411,-20,-0.00432492,0.232984
412.5,-31,0.0535208,0.50543
414,27,0.00108123,0.429031
415.5,-79,-0.0288328,0.45113
417,-39,0.0174799,0.35579
418.5,-50,-0.0127945,0.362419
420,84,-0.0282922,0.382308
421.5,-142,-0.0612697,0.307173
423,-40,-0.161283,0.383571
424.5,-81,-0.0728028,0.347897
426,-29,-0.0983919,0.285074
427.5,41,-0.0252287,0.397462
429,25,-0.146146,0.390201
430.5,-95,-0.067757,0.360841
432,-100,-0.00432492,0.506693
433.5,-79,0.0664956,0.361788
435,-16,-0.0612697,0.430294
436.5,-36,-0.0691987,0.337795
438,5,-0.0450512,0.411352
439.5,-27,0.0100915,0.474807
441,-4,-0.00774881,0.52374
442.5,-52,0.00468533,0.42177
444,-32,-0.0187413,0.55531
445.5,-79,0.0340587,0.540472
447,48,-0.0717215,0.524687
448.5,-40,0.0268505,0.505746
450,-107,-0.0479345,0.510481
451.5,18,-0.0313556,0.356421
453,-54,0.00486553,0.626026
454.5,13,-0.00198225,0.574567
456,-44,-0.0407263,0.541735
457.5,16,-0.0218048,0.520899
459,-91,0.0558635,0.439765
460.5,54,0.0506376,0.533211
462,-25,0.0560437,0.492171
463.5,-2,-0.0286526,0.508271
465,-43,0.00648737,0.603612
466.5,-12,-0.044871,0.517426
468,-40,-0.0306348,0.517111
469.5,-5,-0.0564041,0.514269
471,-44,-0.0639727,0.587827
472.5,-29,0.00630717,0.521846
474,24,-0.021985,0.613398
475.5,-52,-0.0236068,0.525635
477,-61,0.00396451,0.57362
478.5,-37,-0.0254089,0.557204
480,28,0.0910035,0.511113
481.5,-83,-0.0423481,0.527844
483,-12,-0.0418075,0.358947
484.5,-38,-0.00108123,0.579934
486,-33,0.0178403,0.432188
487.5,-33,-0.0522594,0.617187
489,-15,-0.030815,0.410405
490.5,-51,-0.0380232,0.649703
492,-84,0.0340587,0.432504
493.5,-32,0.0264901,0.465337
495,-60,0.0263099,0.345056
496.5,109,-0.0108123,0.433135
498,-184,-0.0464929,0.366524
499.5,-6,-0.0926253,0.468178
501,-86,0.00648737,0.439134
502.5,70,-0.104699,0.434398
504,-50,-0.00306348,0.444501
505.5,25,-0.0935263,0.646862
507,-91,-0.0129747,0.508271
508.5,-61,-0.0710007,0.477333
510,-65,0.0183809,0.381993
511.5,61,-0.0174799,0.640864
513,111,-0.0571249,0.548049
514.5,24,0.043069,0.446395
516,-561,-0.0522594,0.563834
517.5,-109,-0.0127945,0.413562
519,363,0.0344191,0.436608
520.5,216,-0.00234266,0.551206
522,-47,-0.0717215,0.536368
523.5,-108,0.0234266,0.482068
525,-112,-0.0185611,0.535105
526.5,-46,-0.0117133,0.545523
528,-18,-0.0740642,0.426822
529.5,-25,-0.0198225,0.484594
531,-2,-0.0428888,0.485541
532.5,-16,-0.106321,0.435345
534,34,-0.132991,0.265501
535.5,-45,-0.0306348,0.368102
537,-104,-0.0654144,0.306226
538.5,-45,-0.125062,0.387991
540,-7,-0.0884806,0.486172
541.5,-38,-0.151372,0.291072
543,-3,-0.120917,0.470072
544.5,-101,-0.0783891,0.397462
546,-35,-0.0180205,0.518689
547.5,-54,-0.125783,0.52816
549,29,-0.109384,0.375363
550.5,-70,0.0189215,0.465021
552,-21,-0.14993,0.489645
553.5,-66,-0.111186,0.416719
555,-6,-0.021084,0.343793
556.5,-46,0.0248683,0.510797
558,-20,-0.0351399,0.51206
559.5,-32,-0.0037843,0.58246
561,-21,0.0138758,0.550575
562.5,-57,0.0117133,0.564465
564,-41,0.101275,0.562887
565.5,-24,0.0156778,0.619712
567,14,-0.0221652,0.518689
568.5,-39,0.00648737,0.470703
570,-39,-0.0470335,0.480806
571.5,49,-0.059828,0.63234
573,-76,0.00270307,0.396199
574.5,81,-0.0391045,0.613714
576,-13,-0.0187413,0.524687
577.5,-35,-0.0414471,0.294229
579,-81,-0.00270307,0.467231
580.5,50,0.0138758,0.560045
582,-10,-0.0036041,0.558467
583.5,-23,-0.0502772,0.472598
585,-54,-0.116412,0.487751
586.5,-7,-0.0227058,0.35137
588,-43,-0.00702799,0.533527
589.5,-24,-0.0160382,0.529107
591,-30,0.00991127,0.604559
592.5,-8,0.00450512,0.48049
594,-34,-0.0345993,0.483963
595.5,-64,-0.0300942,0.294545
597,-55,-0.0922649,0.556888
598.5,-17,0.0473939,0.483963
600,41,0.015858,0.609925
601.5,-110,-0.0259495,0.477649
603,3,0.0535208,0.482384
604.5,-93,0.0185611,0.358631
606,-98,-0.0855973,0.632971
607.5,-43,0.0264901,0.434398
609,-4,-0.0401857,0.63455
610.5,-4,-0.150471,0.519005
612,-10,-0.120197,0.546155
613.5,-162,-0.0255891,0.715999
615,4,-0.0731632,0.497853
616.5,-71,-0.0989325,0.569832
618,-72,-0.0255891,0.409774
619.5,-9,-0.0517188,0.397462
621,27,-0.0890212,0.496275
622.5,-52,-0.0331577,0.323589
