time,value3,value1,value2
0,-29,0.241963,-0.123305
1.5,-9,0.277076,-0.173816
3,-3,0.255051,-0.135004
4.5,-46,0.226002,-0.194243
6,-105,0.124493,-0.139461
7.5,37,0.111405,-0.207428
9,-30,0.141092,-0.188672
10.5,84,0.151945,-0.242711
12,-43,0.116513,-0.231383
13.5,-92,0.353049,-0.1987
15,-1,0.179397,-0.160631
16.5,-30,0.0881026,-0.139461
18,13,0.0954445,-0.150975
19.5,-26,0.19057,-0.194057
21,15,0.0309636,-0.18013
22.5,-82,0.193443,-0.177344
24,20,0.0986366,-0.219127
25.5,-58,0.110128,-0.179944
27,21,0.185462,-0.130362
28.5,-57,0.197912,-0.229897
30,-30,0.0967214,-0.245125
31.5,-91,0.0852297,-0.184586
33,24,0.112682,-0.143361
34.5,-113,0.120982,-0.129805
36,-20,0.131196,-0.180315
37.5,-55,0.0568198,-0.111606
39,-5,0.167906,-0.1922
40.5,-75,0.15801,-0.227112
42,-13,0.181632,-0.140575
43.5,4,0.230471,-0.187929
45,-69,0.240686,-0.1922
46.5,-11,0.132154,-0.0883935
48,-81,0.274523,-0.202785
49.5,7,0.2027,-0.125719
51,-20,0.173332,-0.164902
52.5,0,-0.0446897,-0.209656
54,-91,0.0919332,-0.264066
55.5,18,0.113959,-0.178458
57,-86,0.170779,-0.127019
58.5,0,0.143646,-0.106964
60,-40,0.24739,-0.14169
61.5,3,-0.0347942,-0.161188
63,-60,0.216107,-0.180501
64.5,29,0.230471,-0.250139
66,-24,0.329746,-0.178644
67.5,-33,0.276757,-0.206871
69,-5,0.259839,-0.155803
70.5,-22,0.218022,-0.200742
72,40,0.15003,-0.181801
73.5,-199,0.255689,-0.103621
75,-1,-0.0185143,-0.14299
76.5,15,0.185143,-0.186443
78,53,0.195996,-0.187372
79.5,14,0.176844,-0.214856
81,-58,0.213234,-0.160817
82.5,-108,0.141411,-0.171773
84,23,0.163756,-0.118477
85.5,-30,0.22281,-0.194986
87,-29,0.151626,-0.0973072
88.5,25,0.205892,-0.116434
90,-46,0.179717,-0.146889
91.5,-169,0.0935292,-0.238997
93,-13,0.0804415,-0.15766
94.5,-26,0.103425,-0.235468
96,65,0.136623,-0.245125
97.5,72,0.219618,-0.0880221
99,-98,0.0858681,-0.108263
100.5,-136,0.204296,-0.158774
102,-46,0.203977,-0.284308
103.5,14,0.186101,-0.0792942
105,-22,0.108213,-0.254967
106.5,-36,0.0287291,-0.151903
108,-53,0.155456,-0.203899
109.5,31,0.0248986,-0.321076
111,-59,0.0482011,-0.163231
112.5,15,0.0520316,-0.186815
114,-110,0.0715036,-0.277808
115.5,-48,0.000957637,-0.222655
117,-65,-0.0134069,-0.258124
118.5,-11,-0.103744,-0.265181
120,-56,-0.0169183,-0.172887
121.5,-29,0.019472,-0.31142
123,-42,-0.172375,-0.176044
124.5,11,0.114597,-0.156174
126,-30,0.0354326,-0.27948
127.5,-49,0.0552238,-0.294893
129,1,-0.00925716,-0.208542
130.5,-46,0.11747,-0.192757
132,-22,-0.0750149,-0.201114
133.5,-43,0.194081,-0.200742
135,23,0.0912948,-0.160445
