time,value3,value1,value2
0,4,0.249071,-5.22526
1.5,-43,0.227954,-5.29949
3,-34,0.289952,-5.17871
4.5,0,0.344368,-5.18375
6,-26,0.377127,-5.26175
7.5,-297,0.3154,-5.18983
9,-14,0.443455,-5.14684
10.5,229,0.307278,-5.14999
12,-69,0.216855,-5.22841
13.5,69,0.265857,-5.20136
15,-156,0.223623,-5.21352
16.5,3,0.222811,-5.26112
18,-47,0.371983,-5.18542
19.5,40,0.25584,-5.19738
21,-39,0.420173,-5.20094
22.5,7,0.434521,-5.19884
24,-60,0.433709,-5.18207
25.5,40,0.228225,-5.22338
27,-43,0.211169,-5.20367
28.5,-5,0.371171,-5.21163
30,-28,0.141592,-5.21604
31.5,-24,0.292117,-5.20115
33,-39,0.37821,-5.24371
34.5,-47,0.303759,-5.19423
36,34,0.360071,-5.17557
37.5,-71,0.304842,-5.30724
39,-1,0.435875,-5.23491
40.5,-50,0.136448,-5.14496
42,-23,0.369005,-5.25671
43.5,-31,0.374149,-5.18123
45,6,0.297261,-5.20388
46.5,-58,0.35601,-5.24015
48,-34,0.266398,-5.27957
49.5,-71,0.12995,-5.15313
51,-18,0.181389,-5.23805
52.5,-47,0.280476,-5.24644
54,32,0.23012,-5.25986
55.5,-88,0.272896,-5.25566
57,-35,0.30403,-5.16572
58.5,-83,0.166228,-5.27957
60,-36,0.318107,-5.25252
61.5,-52,0.283996,-5.2326
63,-24,0.340578,-5.22233
64.5,-25,0.307549,-5.28544
66,-21,0.108021,-5.21394
67.5,-49,0.316754,-5.19947
69,-121,0.322981,-5.2542
70.5,70,0.336517,-5.30703
72,-38,0.25611,-5.13301
73.5,-37,0.324876,-5.28104
75,-75,0.233369,-5.23092
76.5,18,0.351949,-5.3106
78,-32,0.456992,-5.18501
79.5,18,0.283725,-5.26363
81,-19,0.356822,-5.1697
82.5,-39,0.333268,-5.25525
84,-48,0.382,-5.17536
85.5,64,0.21902,-5.2825
87,-20,0.33381,-5.21352
88.5,-7,0.347888,-5.21268
90,-49,0.218208,-5.23449
91.5,-9,0.31892,-5.27118
93,-31,0.377668,-5.14747
94.5,-30,0.175974,-5.25
96,8,0.361154,-5.25525
97.5,-5,0.311881,-5.20597
99,-10,0.209545,-5.21415
100.5,-53,0.287244,-5.19759
102,-43,0.447246,-5.12672
103.5,-31,0.262879,-5.25357
105,36,0.249613,-5.27118
106.5,-60,0.326771,-5.12755
108,-59,0.282642,-5.14013
109.5,-47,0.309986,-5.2521
111,-81,0.251237,-5.18501
112.5,-61,0.209816,-5.2347
114,13,0.29293,-5.26908
115.5,-88,0.243657,-5.29341
117,9,0.288056,-5.26154
118.5,-91,0.279664,-5.29005
120,41,0.36359,-5.22379
121.5,-19,0.254215,-5.24057
123,-20,0.340578,-5.25273
124.5,-42,0.209274,-5.25671
126,-32,0.308903,-5.2825
127.5,-36,0.315942,-5.1632
129,-40,0.308361,-5.16152
130.5,49,0.27452,-5.23092
132,-98,0.131033,-5.2001
133.5,20,0.280476,-5.27831
135,-105,0.13347,-5.16194
136.5,-5,0.229037,-5.11938
138,-45,0.202235,-5.19989
139.5,7,0.352219,-5.24057
141,-12,0.351137,-5.08122
142.5,-5,0.295637,-5.32171
144,-86,0.180847,-5.14349
145.5,46,0.373878,-5.20073
147,-23,0.321627,-5.25336
148.5,-34,0.285349,-5.18396
150,-26,0.199528,-5.19192
151.5,-63,0.134282,-5.23973
153,46,0.283725,-5.27286
154.5,-62,0.348429,-5.18584
156,-37,0.334081,-5.24812
157.5,-21,0.429107,-5.27537
159,-12,0.302134,-5.18794
160.5,-52,0.262879,-5.14496
162,-47,0.261254,-5.23784
163.5,-20,0.197633,-5.26741
165,10,0.255298,-5.24896
166.5,-97,0.248259,-5.25315
168,-10,0.320544,-5.27873
169.5,-116,0.179223,-5.26741
171,-51,0.316212,-5.24099
172.5,-39,0.118038,-5.18773
174,83,0.213064,-5.27579
175.5,-88,0.16704,-5.25692
177,-56,0.288598,-5.211
178.5,-95,0.191947,-5.27684
180,-44,0.312151,-5.25986
181.5,-37,0.154045,-5.25315
183,9,0.257735,-5.30326
184.5,2,0.16704,-5.30913
186,-62,0.196008,-5.26405
187.5,-36,0.286161,-5.27642
189,-73,0.145923,-5.21038
190.5,11,0.232286,-5.20513
192,-5,0.363861,-5.23029
193.5,-23,0.443185,-5.24078
195,-69,0.375773,-5.14726
196.5,-1,0.317837,-5.22673
198,-36,0.355468,-5.1221
199.5,18,0.30051,-5.11288
201,-44,0.200069,-5.17851
202.5,13,0.213335,-5.27915
204,-83,0.271813,-5.26405
205.5,48,0.119392,-5.20828
207,-17,0.289681,-5.26237
208.5,-8,0.358988,-5.16425
210,-33,0.369005,-5.26007
211.5,-17,0.351407,-5.1437
213,-41,0.288869,-5.16718
214.5,-35,0.357634,-5.28313
216,-32,0.316212,-5.13112
217.5,0,0.46728,-5.16991
219,-63,0.323251,-5.22254
220.5,-55,0.159731,-5.31144
222,-5,0.390934,-5.14475
223.5,-76,0.493811,-5.28942
225,45,0.348429,-5.2045
226.5,-24,0.217125,-5.24413
228,97,0.360071,-5.19717
229.5,-604,0.287786,-5.17557
231,-260,0.307278,-5.19968
232.5,311,0.36711,-5.26887
234,17,0.153233,-5.27097
235.5,-106,0.281288,-5.22967
237,-219,0.24095,-5.18752
238.5,-21,0.286161,-5.20073
240,-55,0.312422,-5.12252
241.5,74,0.234723,-5.1892
243,-24,0.298615,-5.16551
244.5,-31,0.281018,-5.32989
246,-59,0.284266,-5.12043
247.5,-51,0.287244,-5.24204
249,-39,0.159189,-5.20828
250.5,25,0.354385,-5.24141
252,28,0.173267,-5.22799
253.5,-44,0.358446,-5.24916
255,-89,0.273708,-5.25776
256.5,9,0.241762,-5.1848
258,-42,0.214147,-5.19402
259.5,21,0.354115,-5.22086
261,-58,0.266669,-5.19528
262.5,-5,0.287244,-5.26426
264,-67,0.391475,-5.30242
265.5,49,0.484877,-5.18857
267,-39,0.362778,-5.22275
268.5,-5,0.250696,-5.18417
270,-15,0.301864,-5.28879
271.5,-20,0.431273,-5.289
273,6,0.418007,-5.24979
274.5,-67,0.241762,-5.27412
276,-70,0.390663,-5.31437
277.5,30,0.243115,-5.22296
279,1,0.340307,-5.26258
280.5,-19,0.0758043,-5.16026
282,-42,0.351407,-5.31584
283.5,-54,0.399056,-5.33136
285,3,0.324605,-5.198
286.5,-102,0.371171,-5.25105
288,-22,0.204401,-5.20031
289.5,-70,0.367922,-5.16068
291,-35,0.496518,-5.19968
292.5,-19,0.369546,-5.27579
294,26,0.361154,-5.24476
295.5,-105,0.360071,-5.23994
297,-3,0.325688,-5.20975
298.5,-74,0.325417,-5.21394
300,16,0.239867,-5.2651
301.5,-88,0.236889,-5.2867
303,-87,0.237971,-5.25378
304.5,3,0.318378,-5.2001
306,55,0.443185,-5.20534
307.5,-1,0.288327,-5.20429
309,-72,0.272625,-5.20975
310.5,-19,0.3931,-5.21436
