time,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,10,0.0465116,0.017386,0.00628605,-0.265573,0.0832739,-0.00104899,0.0178966,-0.0259866,-0.0309386,-0.0193815,0.0176786,-0.0171167,-0.00228798,0.0189421,-0.00846382,-0.0145074
3,10,0.106549,-0.0255165,0.043004,-0.506542,0.0440162,-0.0339872,0.0125276,-0.0553143,-0.0469115,-0.0722171,0.0584498,-0.0331676,-0.0756559,0.0283264,0.0318804,0.0220028
4.5,9,0.119952,-0.0168286,0.0564525,-0.625776,0.0788723,-0.0814644,0.0106783,-0.067231,-0.074598,-0.0679447,0.0559196,-0.0159637,-0.0951648,0.0480509,0.00283068,0.0463994
6,9,0.0945913,0.0147684,0.0667072,-0.660836,0.178051,-0.0995427,-0.0327447,-0.0605079,-0.103473,-0.0442968,0.0867897,-0.0266397,-0.132552,0.0412214,0.019005,0.0687592
7.5,8,0.107051,0.00920071,0.0419179,-0.721681,0.163815,-0.0864414,-0.0091875,-0.115711,-0.0952843,-0.0339684,0.127832,-0.0356021,-0.146371,0.030014,0.0716491,0.122331
9,10,0.102227,-0.00450317,0.0380959,-0.731528,0.16052,-0.0652094,0.0215589,-0.107481,-0.0760425,-0.0288862,0.0879782,-0.0452831,-0.122963,0.0236869,0.0800012,0.193918
10.5,9,0.100558,0.0296964,0.0638677,-0.830217,0.193242,-0.125824,-0.00803843,-0.130887,-0.0799503,-0.0487498,0.116195,-0.00264598,-0.159859,0.0444537,0.144414,0.226511
12,9,0.0760678,-0.00625546,0.117383,-1.0694,0.140608,-0.163593,0.0476482,-0.13339,-0.0787906,-0.0611496,0.131646,0.0147353,-0.177811,0.0368272,0.175583,0.219979
13.5,7,0.137961,0.00945497,0.11304,-1.09524,0.174133,-0.185522,0.00589716,-0.0910946,-0.0964538,-0.0727308,0.131188,0.0226275,-0.162318,0.0370486,0.216801,0.225384
15,10,0.120423,0.0131116,0.0947107,-1.21614,0.180512,-0.188998,-0.0495753,-0.0994332,-0.135015,-0.0696711,0.114754,0.0462012,-0.167822,0.0408627,0.238381,0.247979
16.5,8,0.0709573,-0.011466,0.0630536,-1.11992,0.200529,-0.218876,-0.0392488,-0.0972859,-0.139861,-0.0846134,0.130349,0.0225267,-0.158666,0.0523929,0.286485,0.236077
18,10,0.120531,-0.0215692,0.0693203,-1.17391,0.218544,-0.250487,-0.100945,-0.100922,-0.110406,-0.0875282,0.121734,0.0609664,-0.213346,0.0504793,0.272883,0.199574
19.5,7,0.150713,0.00155317,0.093079,-1.13072,0.247844,-0.235404,-0.126643,-0.116816,-0.0925297,-0.12133,0.12061,0.0694028,-0.262939,0.0337191,0.317067,0.155437
21,8,0.137245,-0.0126643,0.096713,-1.09576,0.259938,-0.30365,-0.142614,-0.122954,-0.100185,-0.128157,0.135619,0.0466377,-0.276303,0.0221051,0.314984,0.194296
22.5,9,0.106947,-0.0108865,0.106639,-1.17365,0.219668,-0.258074,-0.124773,-0.14407,-0.136215,-0.104808,0.186142,0.0364837,-0.329896,0.0184487,0.3164,0.176479
24,8,0.0812835,-0.00519572,0.158466,-1.18516,0.232201,-0.238036,-0.150475,-0.146369,-0.118276,-0.125928,0.175262,0.013135,-0.380037,0.0184836,0.376452,0.201547
25.5,7,0.133567,0.0075963,0.167024,-1.18967,0.149499,-0.254619,-0.166448,-0.130989,-0.13379,-0.162631,0.229555,0.0192495,-0.346609,0.0186595,0.425326,0.17978
27,10,0.160841,-0.0340715,0.150692,-1.2152,0.150014,-0.198212,-0.212441,-0.127171,-0.0977464,-0.143419,0.193893,0.0396085,-0.355038,0.00117717,0.394548,0.232727
28.5,9,0.196615,-0.0270849,0.122311,-1.1386,0.158806,-0.20986,-0.201339,-0.142668,-0.0642281,-0.15225,0.195497,0.0479199,-0.374827,0.010892,0.380955,0.259021
30,10,0.219723,-0.0374159,0.114147,-1.17315,0.111995,-0.230834,-0.181205,-0.1581,-0.0624821,-0.155564,0.216829,0.072194,-0.338489,0.0193462,0.36637,0.285507
31.5,8,0.29505,-0.0495262,0.062058,-1.16323,0.0912782,-0.272788,-0.169646,-0.192036,-0.0278135,-0.123154,0.227189,0.0888733,-0.351543,0.0367875,0.402616,0.252523
33,7,0.315799,-0.0739763,0.0166568,-1.19727,0.0702541,-0.280125,-0.110326,-0.189167,-0.0491355,-0.109154,0.261925,0.11325,-0.399138,0.0549428,0.360474,0.247017
34.5,8,0.315227,-0.0512381,0.0149911,-1.27282,0.0251607,-0.282534,-0.137473,-0.148347,-0.0330697,-0.107086,0.275509,0.0928826,-0.417567,0.0529188,0.35452,0.269867
36,9,0.31097,-0.0379327,0.0534269,-1.27442,0.0321616,-0.246937,-0.149974,-0.16284,-0.0326407,-0.104804,0.220888,0.0865009,-0.397928,0.0636772,0.3675,0.264642
37.5,10,0.283615,-0.00422531,0.0843215,-1.41645,0.0265662,-0.23116,-0.137959,-0.156208,-0.0290169,-0.14657,0.260122,0.0797886,-0.442409,0.0749502,0.338743,0.231327
39,9,0.291608,0.0442643,0.0806963,-1.42322,-0.00107259,-0.22273,-0.134305,-0.18031,-0.0174812,-0.213652,0.259523,0.0892493,-0.446978,0.0845176,0.397031,0.217463
40.5,9,0.288643,0.0763996,0.0374987,-1.4293,-0.0152409,-0.26497,-0.148912,-0.250633,-0.0218488,-0.185967,0.24462,0.123923,-0.437744,0.0809821,0.390713,0.24085
42,7,0.262452,0.102765,0.0215465,-1.53242,-0.00895826,-0.244242,-0.176376,-0.269004,-0.0149872,-0.171162,0.31297,0.14092,-0.413036,0.0585688,0.388318,0.265526
43.5,9,0.277372,0.112942,0.03825,-1.45143,0.0311952,-0.246043,-0.137859,-0.237649,-0.0527013,-0.21851,0.330289,0.134902,-0.409866,0.0650026,0.392275,0.238974
45,10,0.284385,0.109318,0.0381227,-1.4957,0.0411616,-0.278608,-0.158673,-0.212399,-0.054986,-0.25986,0.291183,0.103326,-0.403199,0.0674674,0.321073,0.242882
46.5,9,0.291231,0.097875,0.0594546,-1.52774,0.0786824,-0.270154,-0.163089,-0.236079,-0.0829442,-0.243143,0.304052,0.119153,-0.415121,0.0662153,0.340689,0.244385
48,10,0.237516,0.104706,0.0978813,-1.53704,0.0696245,-0.249432,-0.183766,-0.222866,-0.0458697,-0.253379,0.267569,0.141148,-0.394963,0.0409408,0.339535,0.25702
49.5,9,0.276314,0.108298,0.115826,-1.58447,-0.0253703,-0.189872,-0.151669,-0.238445,-0.0243744,-0.261326,0.278379,0.130909,-0.37911,0.0381481,0.355894,0.283303
51,10,0.274344,0.132752,0.146027,-1.5881,0.0188037,-0.143087,-0.18005,-0.226852,-0.020498,-0.244463,0.318494,0.106191,-0.368273,0.0352009,0.364975,0.331136
52.5,8,0.240495,0.129959,0.145106,-1.68119,0.00978553,-0.125631,-0.193663,-0.215675,-0.0349967,-0.249932,0.322554,0.0949264,-0.350512,0.0370309,0.363273,0.360888
54,9,0.250126,0.095742,0.143907,-1.6361,0.0456854,-0.167615,-0.223214,-0.23086,-0.00451573,-0.2696,0.327865,0.0886633,-0.398972,0.0268209,0.333059,0.335277
55.5,10,0.209075,0.099463,0.102893,-1.72244,-0.0183645,-0.179701,-0.232509,-0.211115,0.00421012,-0.271712,0.34922,0.0465325,-0.310646,0.0436594,0.310098,0.333182
57,9,0.227194,0.100255,0.127362,-1.6986,-0.0129591,-0.189529,-0.212838,-0.234181,-0.0480151,-0.273613,0.332529,0.0777274,-0.31924,0.0699479,0.308711,0.368773
58.5,9,0.233344,0.083582,0.119432,-1.70644,0.00380192,-0.177919,-0.230926,-0.220415,-0.0680364,-0.280802,0.297618,0.131639,-0.330406,0.0528313,0.297589,0.32706
60,8,0.272025,0.124569,0.114885,-1.69397,-0.00966417,-0.184254,-0.257944,-0.19132,-0.114116,-0.253985,0.282773,0.12558,-0.342744,0.0398846,0.328958,0.31813
61.5,9,0.263534,0.126686,0.0586542,-1.71008,0.0710072,-0.167402,-0.218429,-0.174786,-0.114936,-0.2328,0.219691,0.130139,-0.35461,0.048476,0.344494,0.307675
63,9,0.250546,0.140608,0.0919842,-1.68358,0.0746132,-0.1365,-0.165565,-0.174756,-0.0912109,-0.249547,0.215953,0.140701,-0.411813,0.0429054,0.326502,0.260385
64.5,9,0.268261,0.137285,0.150084,-1.69878,0.121875,-0.132291,-0.140657,-0.167304,-0.12562,-0.277681,0.233029,0.131152,-0.42478,0.0271918,0.31313,0.255302
66,11,0.236623,0.135318,0.122503,-1.74761,0.125152,-0.145287,-0.0979569,-0.149831,-0.111619,-0.281934,0.225748,0.0976907,-0.370862,0.0254848,0.360343,0.217279
67.5,8,0.25573,0.112837,0.0884365,-1.70759,0.125723,-0.158556,-0.117989,-0.216149,-0.120963,-0.317363,0.247922,0.092443,-0.40661,-0.00265729,0.3497,0.197969
69,10,0.273461,0.120985,0.0914254,-1.71648,0.107203,-0.124343,-0.0417623,-0.191935,-0.139445,-0.325232,0.214843,0.0822298,-0.379296,-0.0152606,0.388083,0.208396
70.5,7,0.227404,0.138034,0.0793247,-1.71472,0.084586,-0.201073,-0.0781516,-0.204297,-0.104275,-0.328101,0.250261,0.051077,-0.377592,-0.0112764,0.412283,0.206497
72,9,0.261333,0.12244,0.014448,-1.76781,0.0725586,-0.179917,-0.0751089,-0.241037,-0.100323,-0.327313,0.225788,0.0876306,-0.408473,-0.0107272,0.40538,0.211638
73.5,9,0.260326,0.0958786,0.0215078,-1.66524,0.0831471,-0.186576,-0.10697,-0.246633,-0.0974861,-0.286155,0.191055,0.06821,-0.380209,0.019554,0.40481,0.203772
75,10,0.207028,0.0712058,-0.00282902,-1.76624,0.0308162,-0.163198,-0.106415,-0.268003,-0.147816,-0.24532,0.200677,0.0633267,-0.394812,0.0319137,0.378436,0.203947
76.5,10,0.257964,0.0449095,-0.00291589,-1.77317,0.00870055,-0.117507,-0.101142,-0.303199,-0.122602,-0.208148,0.180609,0.0256673,-0.373635,0.0269871,0.366924,0.210955
78,10,0.246602,0.0588273,0.0358316,-1.78332,-0.0587886,-0.129358,-0.0600073,-0.307775,-0.124731,-0.177643,0.210612,0.0625012,-0.412156,0.0529185,0.409227,0.247083
79.5,9,0.273265,0.0657283,0.0570228,-1.71239,-0.0243587,-0.131108,-0.0373031,-0.288135,-0.0888744,-0.16367,0.154194,0.0623872,-0.42547,0.0495064,0.397928,0.278389
81,8,0.260908,0.0471387,0.0576066,-1.79891,0.00543858,-0.1673,-0.0675763,-0.256351,-0.0411339,-0.14941,0.141537,0.0739111,-0.41343,0.0490383,0.385407,0.261028
82.5,8,0.252994,0.0472827,0.0411227,-1.68346,0.000136219,-0.171025,-0.0834876,-0.246679,0.0072289,-0.103711,0.151691,0.0716873,-0.435769,0.0312654,0.370377,0.241373
84,9,0.24106,0.0364182,0.0196313,-1.6147,0.0286736,-0.215288,-0.0393457,-0.235747,-0.0524932,-0.132946,0.165802,0.046756,-0.399056,0.0253915,0.366254,0.255519
85.5,8,0.22925,0.0276629,0.0350473,-1.64851,0.0769602,-0.23467,-0.114753,-0.210688,-0.0522804,-0.123022,0.17353,0.0537068,-0.429315,-0.00664534,0.325397,0.31016
87,8,0.225571,0.0425382,0.0400472,-1.72189,0.0359547,-0.229036,-0.167108,-0.251244,-0.0510096,-0.111984,0.183247,0.0670675,-0.417271,-0.00843894,0.317778,0.307353
88.5,9,0.230814,0.0239665,0.0426983,-1.6532,0.0133252,-0.211377,-0.173663,-0.254334,-0.0477074,-0.121431,0.215748,0.0713413,-0.412152,0.0109133,0.333962,0.33908
90,11,0.223771,0.060944,0.0469331,-1.62262,-0.00109325,-0.204401,-0.179562,-0.244863,-0.0227906,-0.142995,0.253839,0.0616235,-0.431187,0.0296317,0.325017,0.354336
91.5,8,0.198187,0.0277479,0.0795864,-1.68687,-0.0438105,-0.181863,-0.19561,-0.246735,-0.0194323,-0.16156,0.208014,0.0502939,-0.449844,0.0259455,0.308973,0.347514
93,8,0.235572,-0.00903178,0.0834603,-1.58263,-0.0548946,-0.220846,-0.174855,-0.246192,-0.0246841,-0.135713,0.208758,0.0817585,-0.393038,0.0201699,0.295944,0.35427
94.5,6,0.256922,0.0171833,0.0832492,-1.69384,-0.0969902,-0.254883,-0.122173,-0.266121,-0.0301302,-0.135203,0.212743,0.0361197,-0.388817,0.0428789,0.350517,0.347052
96,9,0.242992,0.0535607,0.0915638,-1.8037,-0.0313787,-0.271354,-0.106973,-0.219833,0.02037,-0.175614,0.245609,0.0263716,-0.40599,0.0495803,0.380355,0.321212
97.5,11,0.220831,0.0369549,0.102375,-1.76979,-0.0187238,-0.337578,-0.117155,-0.212328,0.0237293,-0.230101,0.274084,-0.0108218,-0.422591,0.0615401,0.349843,0.306419
99,9,0.145286,0.0404183,0.0984235,-1.85643,-0.0013863,-0.322178,-0.113195,-0.260888,-0.0628254,-0.214254,0.279271,-0.00747894,-0.438675,0.0373115,0.36329,0.279001
100.5,10,0.172992,0.0693587,0.132583,-1.7196,0.0736988,-0.281044,-0.171672,-0.262642,-0.0687744,-0.217266,0.243609,-0.0138361,-0.440567,0.0529563,0.361287,0.287772
102,8,0.170128,0.100519,0.14373,-1.7976,0.127,-0.263954,-0.152715,-0.263849,-0.050385,-0.212393,0.218696,0.0337302,-0.4049,0.0358037,0.375941,0.301711
103.5,6,0.1606,0.104785,0.15635,-1.8092,0.102404,-0.278993,-0.0664539,-0.194772,-0.0413892,-0.216434,0.196274,0.016793,-0.417033,0.0573831,0.405117,0.297331
105,9,0.146143,0.0922607,0.156615,-1.81379,0.099301,-0.279417,-0.114095,-0.219472,-0.021781,-0.197318,0.187143,0.0403043,-0.38105,0.0713099,0.408335,0.325627
106.5,8,0.170556,0.0618135,0.168686,-1.89799,0.134577,-0.30812,-0.142654,-0.251354,-0.0361514,-0.196125,0.173401,0.0417641,-0.387179,0.0578167,0.392893,0.256796
108,10,0.151897,0.0650922,0.14738,-1.79411,0.0592585,-0.313498,-0.173727,-0.218423,-0.0307375,-0.184939,0.183131,0.0618094,-0.418626,0.0662055,0.364419,0.256101
109.5,9,0.146865,0.0588386,0.121919,-1.76311,0.174675,-0.271659,-0.174251,-0.242614,-0.0319808,-0.175294,0.153216,0.0475545,-0.454174,0.0513429,0.372177,0.271998
111,9,0.151959,0.0386369,0.143746,-1.71568,0.0822606,-0.267046,-0.175915,-0.243225,-0.0625993,-0.19737,0.180434,0.0515189,-0.47015,0.0545952,0.390444,0.228679
112.5,10,0.153336,0.0455116,0.127152,-1.70424,0.0347769,-0.230376,-0.166079,-0.26902,-0.0635344,-0.183532,0.13311,0.0421686,-0.475759,0.0661981,0.39607,0.231602
114,7,0.11448,0.0660167,0.124421,-1.6705,0.0931598,-0.287586,-0.167368,-0.292235,-0.0679735,-0.1656,0.148527,0.0773523,-0.456783,0.0600121,0.406305,0.237457
115.5,10,0.118535,0.0801248,0.0883137,-1.64015,0.200427,-0.280332,-0.134524,-0.307188,-0.0730479,-0.1364,0.220962,0.140344,-0.476312,0.04895,0.419279,0.239099
117,10,0.149986,0.0606069,0.0206892,-1.64211,0.19466,-0.303174,-0.161041,-0.298372,-0.0686211,-0.142984,0.21765,0.0975669,-0.528589,0.0242453,0.416849,0.231308
118.5,7,0.106118,0.0501997,0.0515297,-1.63998,0.225158,-0.267612,-0.169992,-0.280415,-0.0423325,-0.153544,0.21964,0.0597131,-0.511194,0.058982,0.472968,0.225506
120,10,0.0858831,0.0311176,0.108867,-1.67126,0.176471,-0.224067,-0.147624,-0.246434,-0.0197519,-0.17906,0.196571,0.0437301,-0.468845,0.0522163,0.443539,0.195701
121.5,9,0.053237,0.00576198,0.13163,-1.58419,0.0553261,-0.26932,-0.181778,-0.245178,-0.0131,-0.190647,0.186858,0.0222404,-0.457806,0.0306552,0.448087,0.164848
