time,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17
0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,303,0.0376923,-0.0298781,0.00129069,0.0595775,-0.0128674,0.0227417,-0.0221884,0.0406341,0.0228381,0.0026049,0.0436179,0.0474029,-0.00577627,0.0432158,-0.0282686,0.0105304
3,111,0.0881381,-0.00375886,-0.0329126,0.138481,-0.0257347,0.0508779,-0.0308462,0.043343,0.0375286,-0.00246463,0.0675269,0.111357,-0.00284535,0.114522,0.0339223,0.0266381
4.5,-35,0.0965354,-0.0224182,-0.0340097,0.173748,-0.0187864,0.0973556,-0.0786644,0.0485402,0.0745139,0.00699916,0.0813716,0.142803,-0.00149113,0.198399,0.116749,0.0454251
6,32,0.0920452,-0.0136707,-0.0540992,0.199095,-0.0395543,0.12041,-0.125616,0.0341547,0.0639763,-0.0335757,0.05607,0.193601,-0.0131085,0.209064,0.0852862,0.101725
7.5,-26,0.0985028,-0.00266551,-0.0502381,0.205341,-0.0646791,0.121062,-0.163087,-0.00738658,0.059739,-0.0127854,0.0227979,0.239722,0.0119492,0.261243,0.0894785,0.0833622
9,-59,0.135983,-0.0344456,-0.0351469,0.212997,-0.078799,0.130376,-0.197681,0.0186857,0.0642583,-0.041363,0.0346536,0.235835,0.0229487,0.254184,0.179471,0.0793162
10.5,10,0.146136,-0.0336515,-0.0860993,0.232385,-0.0897054,0.149864,-0.202712,0.0368833,0.0815965,-0.0594685,0.0701616,0.289784,0.0245046,0.268804,0.168591,0.0943955
12,-13,0.170592,-0.0565502,-0.0937521,0.263492,-0.0753306,0.151802,-0.253357,0.0552678,0.102447,-0.0547239,0.0718286,0.33432,-0.0010509,0.328991,0.198375,0.0759856
13.5,27,0.178833,-0.0354742,-0.114321,0.25894,-0.0613638,0.182898,-0.285885,0.0424671,0.116275,-0.0510549,0.0666651,0.317358,-0.00458272,0.369813,0.144615,0.0500563
15,97,0.190725,-0.0148192,-0.106503,0.273152,-0.027434,0.195019,-0.244679,0.0537717,0.0916855,-0.0447472,0.0676721,0.349898,-0.0197418,0.374141,0.260189,0.0204797
16.5,13,0.188175,0.00714369,-0.0679735,0.264436,-0.0609765,0.218885,-0.270244,0.056421,0.0936274,-0.059709,0.072819,0.367935,-0.0295341,0.30495,0.343004,0.00205103
18,31,0.188118,0.0218503,-0.0745994,0.269089,-0.00289471,0.217887,-0.249746,0.0384883,0.128706,-0.0471257,0.0623062,0.407066,-0.031929,0.2681,0.414711,0.0197866
19.5,29,0.200458,0.0305081,-0.0627511,0.264849,-0.00826688,0.212229,-0.249135,0.0223489,0.137748,-0.0460199,0.0318434,0.404925,-0.0148303,0.276244,0.43119,-0.00286285
21,3,0.209155,0.0296259,-0.0497644,0.322354,-0.0239104,0.160067,-0.238579,0.0349129,0.119035,-0.0406164,0.0496602,0.386527,0.0118971,0.272134,0.501145,0.012244
22.5,22,0.226964,0.0377471,-0.0215555,0.32848,-0.0421072,0.177644,-0.272584,0.0181277,0.131513,-0.0509819,0.0293472,0.343054,-0.0143231,0.272884,0.503328,0.0418309
24,-4,0.219069,0.0414419,-0.0292092,0.35085,-0.0306907,0.188968,-0.311891,0.0190741,0.104782,-0.055101,0.0221718,0.349322,0.00550773,0.298344,0.526493,0.0392078
25.5,22,0.23124,0.0213948,-0.0092512,0.363137,-0.00548978,0.195721,-0.361624,0.0284539,0.117759,-0.0371675,0.0387346,0.350143,0.0177931,0.277407,0.496459,-0.00293448
27,40,0.252521,0.0474468,0.00612964,0.376229,-0.0419988,0.22507,-0.376365,0.0363941,0.106292,-0.0214282,0.0324379,0.332402,-0.00281256,0.295424,0.476495,-0.0147315
28.5,18,0.260142,0.0393288,0.00654923,0.337153,-0.0758863,0.188548,-0.367443,0.017705,0.0968973,-0.0301057,0.0239438,0.365446,0.00367284,0.29448,0.390683,0.0136527
30,-1,0.268378,0.060214,-0.0163056,0.344706,-0.0999514,0.204864,-0.3729,0.0397632,0.117761,-0.0377151,0.0395216,0.376706,0.00394736,0.269481,0.392604,-0.0263241
31.5,-15,0.261849,0.0238326,0.00623417,0.349469,-0.129588,0.204475,-0.376506,0.0398001,0.125428,-0.066605,0.0412236,0.385635,0.000557522,0.313712,0.384439,-0.0221316
33,25,0.271291,-0.00144114,0.00922468,0.329925,-0.118945,0.19196,-0.379317,0.0536289,0.135106,-0.0475211,0.0522463,0.370371,0.016547,0.338267,0.365783,0.0292235
34.5,75,0.289944,0.00882297,0.0364392,0.330645,-0.135101,0.235172,-0.426658,0.0414936,0.133323,-0.044372,0.0324824,0.357035,0.00184218,0.362273,0.425318,0.0621826
36,-14,0.306559,-0.013986,0.0586091,0.316761,-0.122621,0.225405,-0.427064,0.0230471,0.144064,-0.0445435,0.020551,0.346238,-0.0158848,0.382608,0.422362,-0.0095583
37.5,-1,0.273838,0.00909832,0.0390669,0.288573,-0.123483,0.208947,-0.415247,0.0149733,0.134595,-0.0436959,0.0144572,0.365847,0.0190777,0.394553,0.476239,-0.00587236
39,29,0.242667,0.0320428,0.0356765,0.285871,-0.114738,0.210265,-0.400261,0.0187434,0.150455,-0.0587629,0.0216947,0.306766,-0.0134229,0.40594,0.461124,-0.027126
40.5,23,0.267452,0.00739373,0.0491459,0.286346,-0.117933,0.198494,-0.409833,0.0193773,0.17553,-0.0250342,0.0247755,0.34398,0.00268096,0.389496,0.463068,-0.0680952
42,39,0.293029,0.0273763,0.0349384,0.325717,-0.145514,0.251365,-0.402785,0.0274727,0.169705,0.00832722,0.0473378,0.354574,-0.0234734,0.44524,0.491673,-0.044515
