time,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17
0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,30,-0.0230657,-0.00738894,0.0578807,0.0190595,0.0138201,0.0282954,0.0296472,-0.0160012,-0.0587,0.0276431,0.00439394,0.0374517,-0.0350234,0.0031252,0.0563698,-0.00415204
3,9,-0.012841,-0.0343586,0.0543188,0.0484454,0.0342991,0.0254659,0.0851298,-0.00565042,-0.0667326,0.055442,0.0243264,0.0789607,-0.0869747,0.0465654,0.157835,-0.0105311
4.5,11,-0.0106963,-0.0235338,0.069912,0.0760305,0.0748423,0.041273,0.121088,0.00966573,-0.102385,0.0765676,0.0474585,0.0972028,-0.108923,0.0944122,0.166009,-0.0260861
6,-4,-0.0268398,-0.0158696,0.0473375,0.114227,0.0623326,0.0516758,0.120414,0.0176998,-0.0983255,0.0766976,0.0684771,0.0863122,-0.127008,0.139974,0.21987,-0.0917975
7.5,16,-0.0212296,0.0152731,0.0604132,0.115321,0.0739399,0.0337626,0.154538,0.00892932,-0.0937451,0.0503396,0.0560371,0.0753402,-0.121187,0.134728,0.283847,-0.035058
9,62,-0.00809021,-0.0139627,0.0659975,0.0932637,0.0934323,0.0127973,0.173814,0.0067863,-0.0899316,0.0671086,0.053629,0.0701469,-0.145134,0.198135,0.266737,-0.0843963
10.5,-17,0.0245632,-0.0139519,0.0945219,0.0856442,0.0943914,0.0311459,0.216997,0.0306095,-0.139329,0.0806434,0.0592509,0.128283,-0.147298,0.216449,0.327436,-0.0370785
12,6,0.00936913,-0.00516774,0.0905115,0.11975,0.112341,0.0109521,0.196145,0.0212981,-0.126014,0.109372,0.0635118,0.152126,-0.16509,0.21793,0.315831,-0.016385
13.5,29,-0.00327275,0.0225957,0.120295,0.0998101,0.125732,-0.0156345,0.188389,0.0496706,-0.162227,0.109725,0.0973052,0.155249,-0.159005,0.204888,0.413899,-0.00115803
