time,value4,value1,value2,value3
189,-34,-0.0230715,-0.0202634,0.0523164
190.5,-1,-0.0160908,-0.0190281,0.0498801
192,-9,-0.0221932,-0.0192201,0.0458114
193.5,-12,-0.0136014,-0.00540105,0.0425912
195,-32,-0.0246929,0.00531157,0.0462351
196.5,-9,-0.0144421,-0.00138551,0.0519649
198,-17,-0.0106844,-0.00305012,0.0601627
199.5,-4,-0.00618117,0.00681158,0.0630027
201,-21,-0.00426883,0.00944691,0.0725025
202.5,0,-0.0160679,0.00904236,0.0637356
204,-21,-0.0190841,0.000152357,0.0644364
205.5,-5,-0.020821,-0.00117259,0.0661089
207,-9,-0.00448692,-0.00847648,0.0726593
208.5,2,-0.0134413,-0.015043,0.073695
210,-12,-0.0115258,-0.0180499,0.0713962
211.5,-8,0.01,-0.0156582,0.0677501
213,-16,-0.00595666,-0.00571156,0.0678565
214.5,-7,0.00363766,-0.0101279,0.0612002
216,-3,0.0052282,-0.0129756,0.0498289
217.5,-39,0.00606599,-0.0126268,0.0454925
219,23,0.0152841,-0.00777898,0.0430658
220.5,-16,0.000105715,-0.00668006,0.0585337
222,-25,0.00737683,-0.0112073,0.0570432
223.5,-14,-0.00921427,-0.0141818,0.056233
225,0,-0.00848216,-0.00803309,0.0569748
226.5,-24,-0.0332503,-0.000867847,0.0609736
228,10,-0.0265037,0.00307493,0.0519411
229.5,-20,-0.0158907,0.00497274,0.0590316
231,-10,-0.0130023,0.0115927,0.0555303
232.5,-27,-0.00721452,0.00992143,0.0622505
234,0,-0.014561,0.0171127,0.0574799
235.5,-23,0.000134748,0.00379123,0.0680496
237,-12,-0.00216198,0.0149498,0.0586443
238.5,-26,-0.00351642,0.0186987,0.0573054
240,-2,-0.0118922,0.0109994,0.0706551
241.5,-11,-0.0134255,0.0182415,0.060138
243,-11,0.00331286,0.0141744,0.0684038
244.5,-23,0.00723813,0.0160986,0.0675107
246,-20,-0.00420616,0.0243388,0.0597421
247.5,5,-0.0139411,0.0232783,0.0440061
249,-28,-0.0276691,0.0217446,0.036838
250.5,-8,-0.0438672,0.0224975,0.0428488
252,-5,-0.0437865,0.0194828,0.026947
253.5,-12,-0.0322282,-9.97E-05,0.0432757
255,-18,-0.0389666,-0.000803171,0.0358716
256.5,-5,-0.0276479,-0.00498283,0.0324154
258,-14,-0.0174822,-0.00326288,0.0434806
259.5,8,-0.0265419,-0.00196307,0.05063
261,-23,-0.0169838,-0.00872813,0.0529789
262.5,-7,-0.0210724,-0.00256607,0.0531553
264,-48,-0.0137672,-0.00776377,0.0561806
265.5,36,-0.0228938,-0.0115031,0.0549174
267,9,-0.00464814,-0.0104208,0.0510923
268.5,-26,-0.00154532,-0.0159131,0.0485881
270,-22,0.00441403,-0.0121975,0.0386272
271.5,9,0.000343884,-0.0208372,0.0375736
273,-21,-0.000352703,-0.0197917,0.0406921
274.5,-55,-0.00385585,-0.0194503,0.0400247
276,4,-0.00463006,-0.0235936,0.0345912
277.5,2,-0.00843677,-0.020512,0.0329548
279,9,-0.0153939,-0.0250902,0.0255646
280.5,-13,-0.0310045,-0.0149704,0.0169073
282,-29,-0.0380359,-0.0194386,0.0200586
283.5,-15,-0.012512,-0.0120101,0.0293905
285,-11,-0.0256083,-0.0168038,0.0391495
286.5,-15,-0.0215974,-0.0213622,0.0468871
288,-4,-0.0265502,-0.0321666,0.0395252
289.5,-33,-0.0121127,-0.0291217,0.045068
291,8,-0.0176585,-0.0300743,0.0457841
292.5,-18,-0.0101185,-0.0284759,0.0519516
294,-3,-0.0126827,-0.0177932,0.0468084
295.5,-29,-0.0178247,-0.0285118,0.0571841
297,-3,-0.028796,-0.0276447,0.049674
298.5,-19,-0.0358828,-0.0387536,0.0409206
300,-9,-0.0443049,-0.0342771,0.042918
301.5,-17,-0.0373273,-0.0340083,0.0565737
303,-7,-0.0261433,-0.0314327,0.0546065
304.5,-21,-0.0185966,-0.0314282,0.0499052
306,-18,-0.00434936,-0.019089,0.0450671
307.5,-2,-0.00381754,-0.0207917,0.0415092
309,-10,-0.0191839,-0.0236007,0.0368908
310.5,-17,-0.0261165,-0.0350995,0.0440725
312,-10,-0.013939,-0.0276608,0.0462039
313.5,1,-0.00559749,-0.0136384,0.0541291
315,-15,-0.00674777,-0.00306777,0.0615118
316.5,-9,0.00387406,-0.00371062,0.0549778
318,-24,0.0055139,-0.00430104,0.0602447
319.5,11,-0.00877289,-0.0090756,0.0625471
321,-23,-0.0139725,0.00164855,0.0742925
322.5,-8,-0.011178,0.0182231,0.0686425
324,-12,-0.0113088,0.0113423,0.0730877
325.5,8,0.00152917,0.00290608,0.0689644
327,-20,-0.0122504,0.00106846,0.0605576
328.5,-4,-0.0212458,0.000930913,0.0735696
330,-17,-0.00869024,0.00603684,0.0725468
331.5,-21,0.00183715,0.00292584,0.082605
333,-9,-0.00335959,0.000437032,0.0731728
334.5,27,-0.0163063,-0.00829289,0.0806039
336,-5,-0.0113065,-0.00141834,0.0655256
