time,value1,value2,value3,value4
0,-23,0,0,0
1.5,-35,-0.00500797,-0.00757544,-0.00316153
3,55,-0.0103145,-0.00621186,-0.0107767
4.5,-33,-0.00810713,-0.00762089,0.00539935
6,20,-0.0214615,-0.00840723,-0.00372181
7.5,57,-0.0235736,-0.0213464,-0.00242762
9,-67,-0.0291637,-0.008782,-0.00115171
10.5,52,-0.0378734,-0.0169115,-0.000130985
12,35,-0.0444077,-0.019779,0.000170128
13.5,-33,-0.0435196,-0.00764171,-0.00742409
15,-8,-0.044928,-0.000999942,-0.0110939
16.5,34,-0.029249,-0.0115192,-0.00780986
18,-12,-0.0237363,0.00760212,-0.00109321
19.5,12,-0.029342,0.0044151,0.016995
21,35,-0.0380642,0.0207283,0.0284414
22.5,22,-0.0337258,0.0213552,0.0123407
24,-5,-0.0257286,0.0331062,-0.00267047
25.5,-4,-0.0289135,0.020008,-0.00571029
27,40,-0.0353136,0.0202865,-0.0111662
28.5,19,-0.0377371,0.00956281,-0.00989518
30,-16,-0.0495474,0.000756597,-0.00612919
31.5,15,-0.0394935,-0.00697016,-0.00242911
33,18,-0.0384808,0.00673396,-0.000774892
34.5,14,-0.0294363,0.0109551,0.000926489
36,21,-0.0247047,0.00520364,-0.0128671
37.5,14,-0.0240976,0.00245844,-0.0243144
39,26,-0.016437,-0.000608901,-0.00728652
40.5,24,-0.00558951,-0.000524998,0.0049956
42,9,-0.0122243,0.00495856,0.00770785
43.5,17,-0.0118982,0.0048759,0.00623501
45,13,-0.0223756,-0.000227892,0.0071186
46.5,9,-0.0307093,-0.00321249,0.0001622
48,23,-0.0443586,-0.0027215,0.000439041
49.5,10,-0.0332236,-0.0105859,-0.00081716
51,11,-0.0304312,-0.00911267,0.00233598
52.5,17,-0.025308,-0.000244972,0.019051
54,6,-0.0178387,0.00196302,0.0222855
55.5,24,-0.0104187,0.00596417,0.0145982
57,15,-0.0153172,0.011665,0.024359
58.5,0,-0.0302632,0.0190286,0.0124769
60,20,-0.01588,0.0179879,0.0155829
61.5,-2,-0.0207456,0.0202234,0.0107825
63,8,-0.0201117,0.027504,0.00811051
64.5,16,-0.0350137,0.0123445,0.00927193
66,12,-0.0440943,-0.00110878,0.00875776
67.5,9,-0.044858,0.00918831,0.00216081
69,0,-0.0557256,0.00647948,-0.00129542
70.5,-1,-0.0431359,0.00912281,-0.000795788
72,11,-0.0474139,-0.000125684,-0.00946831
73.5,5,-0.04448,-0.0119561,-0.00599388
75,16,-0.0437701,-0.00577717,-0.00926249
76.5,8,-0.0572149,-0.00140217,-0.0281661
78,-2,-0.04895,0.00255235,-0.0346979
79.5,15,-0.062033,-0.00750318,-0.0184799
81,13,-0.0603165,-0.0126311,-0.0122066
82.5,4,-0.0568726,-0.0191954,-0.00141472
84,17,-0.0525767,-0.0266437,-0.00549607
85.5,-1,-0.0564593,-0.0220725,-0.00886424
87,9,-0.0588912,-0.0202715,-0.00843161
88.5,16,-0.0523135,-0.0195504,0.00679433
90,1,-0.0590416,-0.0112087,0.0138891
91.5,26,-0.0427069,-0.0244587,-0.000778814
93,17,-0.0347433,-0.026044,0.00363815
94.5,10,-0.0330434,-0.0164414,0.00864939
96,10,-0.0339467,-0.00845638,0.0127615
97.5,9,-0.0376067,-0.00555303,0.0155357
99,22,-0.0348525,-0.000692583,0.0172052
100.5,22,-0.0408353,-0.0100991,0.0189188
102,11,-0.0381578,-0.00330677,0.0073687
103.5,20,-0.0280704,-0.00885728,0.00603241
105,13,-0.0303535,-0.0216685,-0.00146277
106.5,8,-0.0280869,-0.0172591,-0.00903969
108,31,-0.0427422,-0.0222918,-0.0149294
109.5,8,-0.0506141,-0.0369993,-0.0090569
111,11,-0.0376984,-0.0294858,0.00433532
112.5,18,-0.0326627,-0.0268082,-0.00501978
114,5,-0.0544926,-0.0289841,-0.0133973
115.5,23,-0.0548139,-0.0269371,-0.0140512
117,12,-0.0388431,-0.02886,-0.00938529
118.5,7,-0.0304485,-0.0201715,-0.00369378
120,23,-0.0312448,-0.0251519,-0.00625401
121.5,-2,-0.0420903,-0.0311059,-0.0207765
123,8,-0.041762,-0.0338617,-0.0183394
124.5,14,-0.0365396,-0.0270514,-0.0307541
126,13,-0.0523936,-0.0330801,-0.0257373
127.5,10,-0.0651249,-0.029873,-0.0279095
129,3,-0.0768027,-0.0366252,-0.0276541
130.5,0,-0.0860004,-0.0397164,-0.0406114
132,14,-0.0920104,-0.0412045,-0.0294994
133.5,2,-0.083239,-0.0457282,-0.0299913
135,15,-0.0832523,-0.0458246,-0.0428935
136.5,11,-0.0818184,-0.0472274,-0.046308
138,-13,-0.0704145,-0.0490315,-0.0355687
139.5,11,-0.0739077,-0.0500202,-0.0225099
141,13,-0.0805063,-0.0584624,-0.0166334
