time,value1,value2,value3,value4
0,-1,0,0,0
1.5,-6,-0.00556197,0.00271555,0.0141636
3,15,0.00812749,0.00256037,0.014199
4.5,6,-0.00226688,0.0172942,0.0146877
6,22,-0.0112839,0.00471884,0.0150432
7.5,3,0.0167283,0.00377508,0.0311908
9,13,0.0193956,0.00333041,0.0290601
10.5,3,0.0167692,0.00181087,0.0265057
12,7,0.0395215,0.00839274,0.0304109
13.5,3,0.0331205,0.0178479,0.043662
15,12,0.0219867,0.0176922,0.0393558
16.5,5,0.0278614,0.0232314,0.0436299
18,12,0.0202347,0.0450811,0.0336646
19.5,6,0.0173904,0.0320304,0.030685
21,6,0.00714774,0.0336158,0.0320547
22.5,19,0.00471603,0.0455911,0.0422152
24,12,0.0186048,0.0467919,0.0318955
25.5,13,0.0204458,0.0321188,0.0287386
27,6,0.0167074,0.040359,0.0224598
28.5,19,0.020832,0.0388433,0.00989455
30,8,0.0129576,0.0439541,0.00830514
31.5,16,0.0342675,0.0432323,0.0191081
33,9,0.0231549,0.0444006,0.0169507
34.5,19,0.0266915,0.0447534,0.03169
36,1,0.0243596,0.0491089,0.0341688
37.5,22,0.0282566,0.0477441,0.0465621
39,7,0.0399927,0.0427341,0.0369664
40.5,18,0.0336978,0.0365149,0.0423558
42,11,0.0330714,0.0417034,0.0465965
43.5,16,0.0485547,0.0317722,0.0451026
45,10,0.0553794,0.0315084,0.0439783
46.5,14,0.0520702,0.0316076,0.0431851
48,11,0.0616492,0.0340146,0.0375578
49.5,12,0.0627483,0.0371041,0.0427227
51,15,0.0707929,0.0232047,0.0404101
52.5,5,0.0469134,0.0304346,0.0426675
54,8,0.045548,0.0455677,0.0401536
55.5,10,0.0502682,0.0600794,0.0508188
57,19,0.048332,0.0609042,0.0548895
58.5,2,0.046282,0.0582278,0.0503914
60,12,0.0496027,0.0570953,0.0613107
61.5,5,0.0331681,0.0525427,0.0617604
63,14,0.0380593,0.0398617,0.0619431
64.5,2,0.0596603,0.0346825,0.0493774
66,15,0.0514863,0.0324788,0.0503017
67.5,0,0.062535,0.025246,0.0437823
69,16,0.064409,0.0278779,0.0440551
70.5,4,0.0582917,0.0257161,0.0461146
72,10,0.0466334,0.0270902,0.0525071
73.5,8,0.0395616,0.0183359,0.0451571
75,20,0.0269391,0.0104015,0.0389584
76.5,8,0.0220023,0.0199204,0.034743
78,19,0.0450609,0.014501,0.0135246
79.5,-15,0.0313386,0.0231225,0.00869513
81,8,0.0495235,0.0198557,0.00168016
82.5,33,0.036913,0.0210053,0.0147287
84,16,0.0293801,0.00939471,0.00558641
85.5,11,0.0256086,0.0224125,0.00500026
87,7,0.011267,0.0178524,0.000884217
88.5,16,0.0109177,0.00873444,0.00810786
90,7,0.0264222,0.00978069,0.0221371
91.5,24,0.0369218,0.00825128,0.0291114
93,20,0.0218709,0.0194029,0.0279985
94.5,0,0.0381913,0.0203327,0.0200264
96,-7,0.046788,0.0259645,0.0162336
97.5,33,0.0276092,0.0270562,0.0243531
99,19,0.0224883,0.0231967,0.0222444
100.5,15,0.0355283,0.00796672,0.0262229
102,1,0.0440062,0.0206106,0.0200931
103.5,15,0.0496861,0.0225791,0.0152955
105,26,0.0365921,0.0267918,0.0193182
106.5,4,0.0271692,0.0174765,0.0107451
108,-4,0.034112,0.0079682,0.00799416
109.5,11,0.026538,0.024336,0.0118129
111,41,0.0239362,0.0290896,0.00243934
112.5,-21,0.0237088,0.0358795,0.0154069
114,10,0.0146076,0.0285485,0.0207175
115.5,78,0.0136904,0.0208991,0.0360843
117,-52,0.0147104,0.0339824,0.0353473
118.5,-42,0.0183325,0.0339748,0.0276405
120,30,0.0250884,0.0287316,0.0182174
121.5,-13,0.0190185,0.0316362,0.023497
123,147,0.0276916,0.0211969,0.0237194
124.5,-49,0.0274146,0.0128454,0.0288547
126,-38,0.0272932,0.00313829,0.0304842
127.5,-15,0.0228368,0.00704947,0.023573
129,23,0.014361,-0.00747263,0.0122723
130.5,17,-0.00344335,-0.00116771,0.0198386
132,24,0.0119269,-0.01393,0.0230589
133.5,16,0.00808841,-0.0167303,0.0126046
135,17,0.0043662,-0.0044617,0.00399336
136.5,4,-0.00557656,-0.0039573,0.00832899
138,102,0.00155169,-0.00584259,0.00829201
139.5,-92,0.0149208,0.00820538,-0.00682182
141,-21,0.0138407,0.000784067,0.00286366
142.5,20,0.013578,0.00217899,0.00420302
144,20,0.00174276,0.0133037,-0.00552525
145.5,115,0.000792911,0.0174318,-0.0127767
147,-49,0.0185228,0.0236826,-0.00827388
148.5,-39,0.0154697,0.0317867,-0.00371557
150,6,0.00566128,0.0296191,0.00619848
151.5,26,0.0101912,0.0266824,0.00318833
153,13,-0.00327162,0.0265442,0.01505
154.5,34,0.00429759,0.0203819,0.0295321
156,16,0.00293699,0.0141331,0.0449419
157.5,23,-0.00306205,0.00734955,0.0338998
159,-9,-0.00655849,-0.00281011,0.0241809
160.5,11,-0.0153686,-0.000463587,0.0285865
162,38,-0.0129463,-0.00584076,0.0220548
163.5,16,0.00698031,0.000409347,0.0207952
165,-23,0.00107454,0.00253871,0.0302332
166.5,58,-0.00735806,0.0117293,0.0226994
168,-55,-0.0194657,0.00162477,0.019328
169.5,-27,-0.0147207,0.000485155,0.0051584
171,47,-0.0213973,0.00484938,0.0174051
172.5,-8,-0.00724657,0.00717695,0.0171463
174,155,-0.00254025,0.0186598,0.0283055
175.5,-33,-0.00032853,0.0176822,0.0425797
177,-53,-0.000262824,0.0129431,0.0255302
178.5,-17,0.0108636,0.0148934,0.0206366
180,19,0.000573389,0.0204493,0.0412602
181.5,16,-0.00605531,0.0233034,0.0333976
183,24,-0.0112581,0.0180609,0.0357474
184.5,5,-0.00765353,0.0156125,0.0251279
186,19,-0.00672412,0.0179211,0.0220144
187.5,1,-0.00768426,0.0125912,0.0307128
189,14,0.00848409,0.0181032,0.0201441
190.5,0,0.00854105,0.00943939,0.0235512
192,11,0.0091378,0.0113145,0.0231609
193.5,5,0.00530592,0.0166939,0.0401636
195,14,0.00795272,0.0222001,0.0454801
196.5,5,0.0291613,0.00437628,0.037765
198,18,0.0209238,-0.00425768,0.0337883
199.5,9,0.0173905,-0.00080698,0.0205508
201,7,0.0311495,-0.00685255,0.0193088
202.5,23,0.0353921,-0.000400086,0.0159427
204,15,0.020547,0.00243427,0.0188445
205.5,10,0.0102242,-0.00778976,0.00951642
207,9,0.0172489,-0.00165417,0.00240801
208.5,20,0.0142501,-0.00209921,0.0100351
210,15,0.0336981,0.00495433,0.00186689
211.5,8,0.0275597,0.00217896,0.0134263
213,4,0.0338732,0.000656949,-0.00221862
214.5,26,0.0316083,0.00343507,0.00445709
216,7,0.0197247,0.0146577,0.00048509
217.5,25,0.00936593,0.0161098,0.000352663
219,59,0.0205709,0.010599,-0.0140939
220.5,-89,0.0253258,-0.00110278,0.000870148
