time,value4,value1,value2,value3
0,7,0,0,0
1.5,16,0.00558332,-0.0155034,-0.0290309
3,7,0.0115455,-0.0124378,-0.0469834
4.5,22,0.0143711,-0.0165796,-0.054451
6,2,-0.00325906,-0.0164555,-0.0626895
7.5,24,0.0154887,-0.00372908,-0.0540043
9,7,0.0147339,-0.0145232,-0.0726061
10.5,16,0.0112886,-0.024351,-0.0707585
12,16,0.00190222,-0.0186039,-0.0920928
13.5,11,-0.0043108,-0.00628958,-0.104192
15,8,0.00363021,0.00598209,-0.107721
16.5,14,0.0159651,0.0176234,-0.0948284
18,3,0.0172587,0.0179921,-0.0963094
19.5,15,0.0285629,0.0133414,-0.10574
21,13,0.0158213,0.0123918,-0.103011
22.5,6,0.00946658,0.0287842,-0.111305
24,7,0.000145455,0.0209228,-0.101515
25.5,7,0.00569968,0.00572448,-0.101287
27,13,0.0125359,0.00117724,-0.106207
28.5,6,0.0222921,0.00953533,-0.0951048
30,13,0.0251618,0.000472831,-0.0952125
31.5,7,0.0153437,-0.00242779,-0.0920204
33,15,0.0335614,-0.00194223,-0.0970371
34.5,-3,0.0358722,-0.00183439,-0.0915875
36,17,0.0275511,-0.000450317,-0.097299
37.5,11,0.0532477,-0.0130226,-0.106667
39,13,0.0575036,-0.00989192,-0.10595
40.5,-2,0.0518355,-0.0141921,-0.106693
42,9,0.0368821,-0.0126515,-0.104044
43.5,11,0.0279104,-0.0122257,-0.125954
45,17,0.0234749,-0.0131829,-0.13368
46.5,7,0.00392432,-0.0170353,-0.1305
48,12,-0.012115,-0.0263607,-0.130491
49.5,-15,-0.0271897,-0.0100397,-0.130889
51,14,-0.0205553,-0.00161295,-0.134857
52.5,28,-0.00657376,-0.00293892,-0.11522
54,18,-0.0173728,-0.00273697,-0.124417
55.5,10,-0.0103588,-0.0156586,-0.124982
57,4,0.00537213,-0.0142105,-0.135404
58.5,15,-0.00492474,-0.0299585,-0.138199
60,11,-0.00234456,-0.00660437,-0.123976
61.5,13,0.00889218,-0.000337828,-0.121689
63,11,0.0114508,-0.0036726,-0.115027
64.5,20,-0.00145765,-0.00935693,-0.120714
